start_year,cds14,enr_9_12_total,race_hisp_pct,race_white_pct,race_asian_incl_fil_pct,race_black_pct,race_urg_pct,race_asian_only_pct
2013,01100170109835,289.0,11.42,60.21,21.45,4.15,15.92,20.42
2013,01100170112607,343.0,44.9,4.66,2.04,42.27,89.5,1.46
2013,01100170118489,230.0,66.09,0.43,5.22,28.26,94.35,3.04
2013,01100170130401,176.0,30.11,5.68,0.57,51.7,82.39,0.0
2013,01100170130419,270.0,53.7,10.74,2.59,29.26,83.33,1.85
2013,01316170131763,220.0,44.55,28.18,10.91,10.91,55.91,6.82
2013,01611190000001,15.0,20.0,60.0,6.67,13.33,33.33,0.0
2013,01611190106401,169.0,16.57,13.61,58.58,5.92,22.49,49.7
2013,01611190119222,106.0,16.98,14.15,27.36,25.47,44.34,26.42
2013,01611190130229,1758.0,13.2,29.81,47.84,5.86,19.11,41.98
2013,01611190130609,158.0,19.62,41.14,27.22,6.33,26.58,22.78
2013,01611190130625,139.0,76.98,3.6,0.72,15.83,92.81,0.0
2013,01611190132878,1038.0,17.53,18.4,37.57,19.08,36.9,23.89
2013,01611190134304,172.0,27.91,23.84,15.12,25.58,54.65,6.4
2013,01611270000001,1.0,0.0,0.0,100.0,0.0,0.0,0.0
2013,01611270130294,17.0,47.06,11.76,5.88,0.0,47.06,5.88
2013,01611270130450,1181.0,17.44,34.46,32.18,6.18,23.79,30.91
2013,01611430000001,22.0,13.64,68.18,0.0,13.64,27.27,0.0
2013,01611430122697,287.0,58.89,5.92,2.44,24.74,83.62,1.74
2013,01611430131177,3145.0,20.92,37.77,9.22,21.08,42.35,8.55
2013,01611430134924,102.0,20.59,7.84,2.94,56.86,78.43,1.96
2013,01611500000001,12.0,16.67,33.33,0.0,16.67,41.67,0.0
2013,01611500132225,3000.0,23.1,31.33,27.0,7.6,31.0,23.73
2013,01611500135533,124.0,40.32,32.26,8.06,10.48,50.81,4.84
2013,01611680132746,218.0,18.81,5.96,10.09,62.84,81.65,9.63
2013,01611760000001,28.0,7.14,64.29,17.86,7.14,14.29,17.86
2013,01611760127233,19.0,21.05,52.63,26.32,0.0,21.05,26.32
2013,01611760130062,1960.0,11.73,17.91,62.09,5.77,17.76,51.07
2013,01611760130138,216.0,43.06,21.76,16.67,13.89,57.41,10.19
2013,01611760130435,63.0,22.22,58.73,12.7,3.17,25.4,9.52
2013,01611760130534,121.0,20.66,43.8,28.1,4.13,25.62,23.97
2013,01611760134270,2179.0,12.07,18.17,65.53,1.88,14.5,59.75
2013,01611760134452,1410.0,34.33,24.33,31.77,5.53,40.43,23.48
2013,01611760135244,2167.0,2.4,7.34,88.56,0.65,3.18,87.17
2013,01611760138693,1835.0,22.51,29.21,37.87,6.43,29.43,29.92
2013,01611920000001,59.0,28.81,22.03,16.95,28.81,59.32,8.47
2013,01611920108670,471.0,61.15,3.18,22.29,6.79,67.94,11.04
2013,01611920113902,466.0,61.59,8.58,8.58,13.73,75.75,3.86
2013,01611920127944,60.0,56.67,0.0,0.0,0.0,56.67,0.0
2013,01611920133009,234.0,56.41,5.98,5.13,26.5,85.04,2.56
2013,01611920133629,1637.0,55.65,8.67,9.96,19.85,75.99,5.01
2013,01611920135319,1865.0,48.04,6.17,28.53,10.83,59.46,12.98
2013,01611920138339,1339.0,65.65,3.73,14.49,10.46,76.47,7.47
2013,01611926056956,1.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,01612000000001,19.0,15.79,78.95,0.0,0.0,15.79,0.0
2013,01612000130393,112.0,21.43,67.86,2.68,0.0,21.43,2.68
2013,01612000132670,143.0,58.74,27.27,2.1,5.59,64.34,0.7
2013,01612000133397,1968.0,24.34,58.49,8.18,1.42,26.22,5.13
2013,01612000134536,1750.0,26.11,54.0,9.2,2.0,28.51,5.94
2013,01612340000001,4.0,0.0,50.0,0.0,25.0,25.0,0.0
2013,01612340130054,1848.0,45.94,18.34,23.43,6.93,53.14,12.12
2013,01612340130484,35.0,77.14,8.57,2.86,2.86,80.0,0.0
2013,01612340135426,88.0,63.64,7.95,3.41,15.91,79.55,2.27
2013,01612420000001,8.0,25.0,12.5,37.5,12.5,37.5,12.5
2013,01612420110460,163.0,63.19,4.91,17.18,11.04,74.23,8.59
2013,01612420110478,9.0,33.33,33.33,0.0,33.33,66.67,0.0
2013,01612420126763,131.0,49.62,16.79,12.98,10.69,61.07,8.4
2013,01612420134668,3875.0,32.13,6.76,44.44,8.52,40.85,21.86
2013,01612590000001,92.0,16.3,15.22,4.35,59.78,77.17,3.26
2013,01612590100065,292.0,81.16,0.0,0.34,5.82,87.67,0.34
2013,01612590100701,141.0,58.16,6.38,4.96,27.66,85.82,3.55
2013,01612590106542,16.0,25.0,0.0,6.25,62.5,87.5,6.25
2013,01612590106906,108.0,34.26,20.37,1.85,35.19,70.37,0.0
2013,01612590108944,236.0,83.05,1.69,3.81,9.32,92.37,3.39
2013,01612590110189,275.0,5.09,1.82,0.73,88.73,94.18,0.73
2013,01612590111856,149.0,16.11,2.68,62.42,16.78,33.56,61.74
2013,01612590112797,247.0,85.83,0.0,0.4,12.15,97.98,0.4
2013,01612590114868,266.0,50.0,1.5,43.61,3.38,53.38,43.23
2013,01612590115238,246.0,67.07,3.25,0.41,1.22,69.92,0.41
