cds14,year,acs_year,tract_geoid,zcta,inc,pov,ba,hs,unemp,homeval,rent,own,hisp,white,black,asian,pop
01100170109835,2015,2015,06001444602,94560,103476,3.8,50.1,92.7,5.5,423600,1763,71.9,12.0,22.3,6.3,52.9,4341
01100170112607,2015,2015,06001402900,94612,31319,25.0,36.8,78.6,7.9,,842,0.6,11.2,23.2,17.2,42.5,1458
01100170112607,2016,2016,06001402900,94612,28854,25.4,42.1,82.3,6.0,,886,0.6,12.0,23.4,20.5,36.9,1392
01100170112607,2017,2017,06001402900,94612,26786,29.6,43.2,79.9,4.6,,906,0.6,15.3,23.4,15.4,37.5,1417
01100170112607,2018,2018,06001402900,94612,31932,24.8,44.5,79.8,5.5,,957,0.8,15.9,21.7,16.2,38.0,1427
01100170112607,2019,2019,06001402900,94612,31326,25.5,43.5,79.1,5.8,,1020,0.0,17.6,21.6,17.1,37.6,1406
01100170112607,2021,2021,06001402900,94612,33523,26.5,50.2,84.9,8.0,,1201,0.0,10.6,22.4,16.5,44.9,1638
01100170112607,2022,2022,06001402900,94612,37973,25.1,50.4,83.8,6.9,,1468,0.0,10.0,20.0,22.3,44.1,1828
01100170112607,2023,2023,06001402900,94612,41094,26.5,53.4,89.3,4.4,,1907,0.0,11.7,22.1,19.8,43.3,2111
01100170112607,2024,2024,06001402900,94612,66050,21.3,61.0,91.7,7.5,,2096,0.7,9.2,25.9,24.8,28.5,2431
01100170112607,2025,2024,06001402900,94612,66050,21.3,61.0,91.7,7.5,,2096,0.7,9.2,25.9,24.8,28.5,2431
01100170118489,2015,2015,06001423000,94703,74167,10.2,77.2,95.3,3.3,610400,1449,46.1,11.8,65.6,1.3,14.1,4730
01100170130401,2015,2015,06001430500,94578,54824,12.3,26.3,85.3,9.9,419800,1277,58.8,32.5,30.1,14.1,15.9,6193
01100170130401,2016,2016,06001430500,94578,58618,9.1,27.2,87.4,10.8,456100,1247,62.2,28.3,26.6,15.9,21.1,6005
01100170130401,2017,2017,06001430500,94578,70673,9.0,29.4,86.3,9.9,482200,1431,63.9,20.1,31.2,21.4,21.2,6076
01100170130401,2018,2018,06001430500,94578,81287,9.9,31.3,85.7,7.3,558000,1567,67.2,19.3,29.7,22.4,22.2,6049
01100170130401,2019,2019,06001430500,94578,80652,10.2,33.8,86.0,4.3,591700,1691,63.6,19.2,29.3,24.9,21.8,5987
01100170130401,2021,2021,06001430500,94578,94811,7.5,35.0,85.3,3.3,722900,1815,58.1,14.8,25.3,35.1,22.3,6480
01100170130401,2022,2022,06001430500,94578,99189,9.1,36.5,85.9,4.0,858900,2065,56.8,15.5,24.1,37.2,20.2,6250
01100170130401,2023,2023,06001430500,94578,92139,10.3,33.2,83.8,4.7,903100,2265,55.5,18.3,19.0,29.6,23.4,6087
