ceeb,campus,year,applicants,admits,enrollees,app_gpa,adm_gpa,enr_gpa,school_name,city,county
050003,Berkeley,1994,48,23,8,3.88,4.04,3.92,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles
050005,Berkeley,1994,58,22,10,3.91,4.12,4.19,ALAMEDA HIGH SCHOOL,Alameda,Alameda
050006,Berkeley,1994,20,10,5,4.04,4.16,4.04,OAK PARK HIGH SCHOOL,Oak Park,Ventura
050015,Berkeley,1994,17,4,,3.43,,,ENCINAL HIGH SCHOOL,Alameda,Alameda
050035,Berkeley,1994,30,15,6,3.66,4.01,3.79,ALBANY HIGH SCHOOL,Albany,Alameda
050050,Berkeley,1994,87,41,20,3.80,3.99,3.98,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles
050055,Berkeley,1994,28,12,3,3.77,3.96,,MARK KEPPEL HIGH SCHOOL,Alhambra,Los Angeles
050075,Berkeley,1994,6,,,3.97,,,SOUTH TAHOE HIGH SCHOOL,South Lake Tahoe,El Dorado
050077,Berkeley,1994,13,5,3,3.74,3.99,,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino
050081,Berkeley,1994,9,4,,4.00,,,KATELLA HIGH SCHOOL,Anaheim,Orange
050083,Berkeley,1994,5,3,3,3.94,,,MAGNOLIA HIGH SCHOOL,Anaheim,Orange
050084,Berkeley,1994,23,13,10,4.02,4.23,4.24,LOARA HIGH SCHOOL,Anaheim,Orange
050090,Berkeley,1994,6,,,3.67,,,ANAHEIM HIGH SCHOOL,Anaheim,Orange
050092,Berkeley,1994,12,6,,4.08,4.20,,WESTERN HIGH SCHOOL,Anaheim,Orange
050093,Berkeley,1994,36,17,7,4.03,4.22,4.12,ESPERANZA HIGH SCHOOL,Anaheim,Orange
050115,Berkeley,1994,15,7,,3.64,3.79,,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa
050118,Berkeley,1994,13,7,,3.72,3.87,,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino
050119,Berkeley,1994,13,3,,3.69,,,APTOS HIGH SCHOOL,Aptos,Santa Cruz
050130,Berkeley,1994,163,72,32,3.79,3.98,3.92,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles
050135,Berkeley,1994,5,5,,4.12,4.12,,ARCATA HIGH SCHOOL,Arcata,Humboldt
050150,Berkeley,1994,14,11,3,4.02,4.10,,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo
050155,Berkeley,1994,17,,,3.89,,,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles
050160,Berkeley,1994,7,4,,3.88,,,ARVIN HIGH SCHOOL,Arvin,Kern
050165,Berkeley,1994,6,5,,,,,ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo
050170,Berkeley,1994,40,13,5,3.60,3.85,3.68,MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo
050172,Berkeley,1994,10,5,,3.84,4.10,,ATWATER HIGH SCHOOL,Atwater,Merced
050175,Berkeley,1994,9,5,,3.99,4.05,,PLACER HIGH SCHOOL,Auburn,Placer
050205,Berkeley,1994,20,10,5,3.77,3.93,3.79,BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern
050218,Berkeley,1994,14,4,,3.83,,,HIGHLAND HIGH SCHOOL,Bakersfield,Kern
050224,Berkeley,1994,5,4,,3.76,,,WEST HIGH SCHOOL,Bakersfield,Kern
050225,Berkeley,1994,11,6,,3.75,3.80,,BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles
050228,Berkeley,1994,10,3,,3.67,,,SIERRA VISTA HIGH SCHOOL,Baldwin Park,Los Angeles
050245,Berkeley,1994,25,7,,3.47,3.57,,BELL HIGH SCHOOL,Bell,Los Angeles
050255,Berkeley,1994,7,3,3,4.05,,,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles
050265,Berkeley,1994,15,5,,3.30,3.52,,BELL GARDENS HIGH SCHOOL,Bell Gardens,Los Angeles
050270,Berkeley,1994,34,14,8,3.88,4.09,4.06,CARLMONT HIGH SCHOOL,Belmont,San Mateo
050280,Berkeley,1994,14,10,6,3.94,4.03,4.00,BENICIA HIGH SCHOOL,Benicia,Solano
050290,Berkeley,1994,133,69,29,3.52,3.82,3.44,BERKELEY HIGH SCHOOL,Berkeley,Alameda
050320,Berkeley,1994,115,46,12,3.60,3.98,3.67,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles
050370,Berkeley,1994,14,8,,3.80,3.96,,BREA OLINDA HIGH SCHOOL,Brea,Orange
050375,Berkeley,1994,7,5,,3.90,3.94,,LIBERTY HIGH SCHOOL,Brentwood,Contra Costa
050379,Berkeley,1994,28,13,6,3.89,4.21,4.10,JOHN F KENNEDY HIGH SCHOOL,La Palma,Orange
050385,Berkeley,1994,17,8,,3.62,4.15,,BURBANK HIGH SCHOOL,Burbank,Los Angeles
050400,Berkeley,1994,10,3,,3.84,,,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles
050410,Berkeley,1994,36,9,4,3.75,4.02,,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo
050421,Berkeley,1994,57,21,9,3.90,4.18,4.16,CALABASAS HIGH SCHOOL,Calabasas,Los Angeles
050425,Berkeley,1994,10,8,6,3.55,3.79,3.78,CALEXICO HIGH SCHOOL,Calexico,Imperial
050435,Berkeley,1994,5,,,3.66,,,CALISTOGA JUNIOR SENIOR HIGH SCHOOL,Calistoga,Napa
050438,Berkeley,1994,32,15,6,4.01,4.14,3.97,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura
050440,Berkeley,1994,5,4,,4.02,,,COAST UNION HIGH SCHOOL,Cambria,San Luis Obispo
050465,Berkeley,1994,5,,,3.92,,,CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles
050466,Berkeley,1994,84,39,17,3.79,4.03,4.01,TORREY PINES HIGH SCHOOL,San Diego,San Diego
050472,Berkeley,1994,25,6,,3.88,3.94,,CARLSBAD HIGH SCHOOL,Carlsbad,San Diego
050475,Berkeley,1994,14,9,6,3.84,3.99,4.02,CARMEL HIGH SCHOOL,Carmel,Monterey
050489,Berkeley,1994,12,6,,3.78,4.05,,NORTH MONTEREY COUNTY HIGH SCH,Castroville,Monterey
050491,Berkeley,1994,44,26,7,3.72,3.82,3.71,CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles
050500,Berkeley,1994,45,14,4,3.76,4.02,,CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda
050525,Berkeley,1994,6,3,,3.78,,,CERES HIGH SCHOOL,Ceres,Stanislaus
050526,Berkeley,1994,97,59,16,3.94,4.13,4.01,GRETCHEN WHITNEY HIGH SCHOOL,Cerritos,Los Angeles
050527,Berkeley,1994,95,39,19,3.73,4.08,4.02,CERRITOS HIGH SCHOOL,Cerritos,Los Angeles
050528,Berkeley,1994,45,23,16,3.86,4.10,4.11,CHATSWORTH CHARTER HIGH SCHOOL,Chatsworth,Los Angeles
050545,Berkeley,1994,7,5,3,3.45,3.38,,CHICO HIGH SCHOOL,Chico,Butte
050548,Berkeley,1994,13,10,3,4.07,4.06,,PLEASANT VALLEY SR HIGH SCHOOL,Chico,Butte
050550,Berkeley,1994,6,3,,3.79,,,SHERMAN E BURROUGHS HS,Ridgecrest,Kern
050555,Berkeley,1994,8,4,,3.71,,,CHINO HIGH SCHOOL,Chino,San Bernardino
050563,Berkeley,1994,23,9,4,3.89,4.22,,RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino
050572,Berkeley,1994,45,20,7,3.90,4.00,4.04,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego
050573,Berkeley,1994,16,8,,3.71,3.83,,CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego
050580,Berkeley,1994,14,6,,3.85,4.09,,CHULA VISTA HIGH SCHOOL,Chula Vista,San Diego
050581,Berkeley,1994,16,4,,3.69,,,HILLTOP HIGH SCHOOL,Chula Vista,San Diego
050582,Berkeley,1994,10,3,,3.98,,,SAN JUAN HIGH SCHOOL,Citrus Heights,Sacramento
050583,Berkeley,1994,5,,,4.11,,,WILLIAM WORKMAN HIGH SCHOOL,City Of Industry,Los Angeles
050590,Berkeley,1994,52,26,9,3.96,4.18,4.09,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles
050615,Berkeley,1994,17,6,4,3.69,4.03,,CLOVIS HIGH SCHOOL,Clovis,Fresno
050640,Berkeley,1994,8,5,4,3.70,3.91,,COLTON HIGH SCHOOL,Colton,San Bernardino
050651,Berkeley,1994,5,,,3.24,,,COMPTON HIGH SCHOOL,Compton,Los Angeles
050657,Berkeley,1994,12,5,4,3.81,4.05,,CONCORD HIGH SCHOOL,Concord,Contra Costa
050658,Berkeley,1994,14,4,,3.87,,,CLAYTON VALLEY CHARTER HIGH SCHOOL,Concord,Contra Costa
050659,Berkeley,1994,30,12,3,3.80,4.01,,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa
050660,Berkeley,1994,13,5,,3.61,4.09,,MOUNT DIABLO HIGH SCHOOL,Concord,Contra Costa
050663,Berkeley,1994,27,11,,3.86,3.99,,YGNACIO VALLEY HIGH SCHOOL,Concord,Contra Costa
050666,Berkeley,1994,72,31,10,3.77,4.05,4.06,NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa
050675,Berkeley,1994,10,4,,4.14,,,CORONA HIGH SCHOOL,Corona,Riverside
050676,Berkeley,1994,9,,,3.99,,,CENTENNIAL HIGH SCHOOL,Corona,Riverside
050680,Berkeley,1994,20,8,6,3.81,3.92,3.77,CORONADO HIGH SCHOOL,Coronado,San Diego
050683,Berkeley,1994,5,,,3.49,,,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange
050684,Berkeley,1994,13,5,,3.62,3.70,,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange
050693,Berkeley,1994,8,,,3.77,,,CHARTER OAK HIGH SCHOOL,Covina,Los Angeles
050700,Berkeley,1994,6,,,3.97,,,COVINA HIGH SCHOOL,Covina,Los Angeles
050703,Berkeley,1994,6,4,,4.03,,,NORTHVIEW HIGH SCHOOL,Covina,Los Angeles
050704,Berkeley,1994,20,7,3,3.99,4.02,,SOUTH HILLS HIGH SCHOOL,West Covina,Los Angeles
050710,Berkeley,1994,5,,,3.46,,,JOHN SWETT HIGH SCHOOL,Crockett,Contra Costa
050714,Berkeley,1994,17,6,,3.93,4.20,,CYPRESS HIGH SCHOOL,Cypress,Orange
050715,Berkeley,1994,32,6,,3.52,3.89,,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles
050718,Berkeley,1994,22,6,,3.74,4.13,,CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara
