campus,period,ctx,ach,outcome,n,r_overall,r_partial,rho10,rho20,rho50,rho80,rho90,rho_min,rho_min_pct,rho_max,rho_max_pct,mod_beta,mod_t,neff_med
Berkeley,p2325,upp,avg,admit_rate,860,-0.2184,0.0989,0.0348,0.0179,-0.0892,0.1778,0.2215,-0.0892,50.0,0.232,95.0,0.046,1.29,357.1
Berkeley,p2325,sed,avg,admit_rate,860,-0.2184,0.0997,0.0261,0.0136,-0.098,0.1679,0.2051,-0.098,50.0,0.2195,95.0,0.0394,1.11,357.1
Berkeley,p2325,el,avg,admit_rate,860,-0.2184,-0.1564,-0.1273,-0.2088,-0.2612,-0.1622,-0.107,-0.3011,35.0,-0.0734,95.0,-0.0889,-2.49,356.7
Berkeley,p2325,r_hisp,avg,admit_rate,860,-0.2184,0.0774,0.0012,-0.0108,-0.0931,0.1575,0.1808,-0.1212,40.0,0.192,95.0,0.0388,1.09,357.1
Berkeley,p2325,r_white,avg,admit_rate,860,-0.2184,-0.1336,0.0566,-0.0466,-0.2414,-0.1782,-0.1224,-0.2423,52.5,0.0946,5.0,-0.0348,-0.92,357.1
Berkeley,p2325,r_asian,avg,admit_rate,860,-0.2184,-0.0258,0.1699,0.0958,-0.1646,-0.0751,0.0072,-0.1856,60.0,0.1901,5.0,-0.0584,-1.72,357.1
Berkeley,p2325,r_black,avg,admit_rate,860,-0.2184,-0.2239,-0.3053,-0.3241,-0.2629,-0.1126,-0.0414,-0.3242,22.5,-0.017,95.0,0.0753,2.24,357.1
Berkeley,p2325,r_urg,avg,admit_rate,860,-0.2184,0.1167,0.0418,0.0193,-0.075,0.1629,0.2069,-0.0867,45.0,0.2231,95.0,0.0459,1.3,357.1
Berkeley,p2325,inc,avg,admit_rate,857,-0.2196,-0.0746,0.0638,0.0237,-0.0862,-0.2909,-0.2735,-0.2909,80.0,0.0857,5.0,-0.0876,-2.77,355.8
Berkeley,p2325,pov,avg,admit_rate,857,-0.2196,-0.1483,-0.2656,-0.2636,-0.203,-0.0002,0.0339,-0.2732,32.5,0.0428,95.0,0.0891,2.7,355.9
Berkeley,p2325,ba,avg,admit_rate,857,-0.2196,-0.0614,0.1121,0.0913,-0.1162,-0.2376,-0.3052,-0.3328,95.0,0.1272,5.0,-0.0928,-2.76,355.8
Berkeley,p2325,hs,avg,admit_rate,857,-0.2196,-0.0689,0.1154,0.0522,-0.1261,-0.2281,-0.2242,-0.2339,85.0,0.134,5.0,-0.0605,-1.75,355.9
Berkeley,p2325,unemp,avg,admit_rate,857,-0.2196,-0.1943,-0.2401,-0.2411,-0.3097,-0.1089,-0.0192,-0.3105,47.5,0.0226,95.0,0.0639,1.9,355.8
Berkeley,p2325,homeval,avg,admit_rate,844,-0.2279,-0.1327,0.0298,-0.013,-0.1367,-0.242,-0.301,-0.3327,95.0,0.0593,5.0,-0.0843,-2.49,350.4
Berkeley,p2325,rent,avg,admit_rate,852,-0.2232,-0.0688,0.0819,0.0623,-0.1748,-0.2561,-0.2115,-0.2615,75.0,0.0868,5.0,-0.0686,-2.09,353.7
Berkeley,p2325,own,avg,admit_rate,857,-0.2196,-0.1907,-0.1297,-0.1968,-0.1848,-0.244,-0.2574,-0.2578,87.5,-0.0941,5.0,-0.0254,-0.76,355.8
Berkeley,p2325,hisp,avg,admit_rate,857,-0.2196,-0.043,-0.2067,-0.1661,-0.1482,0.122,0.1659,-0.2306,5.0,0.1662,92.5,0.0798,2.33,355.8
Berkeley,p2325,white,avg,admit_rate,857,-0.2196,-0.174,-0.0553,-0.1254,-0.2246,-0.2893,-0.1953,-0.3116,72.5,-0.0167,5.0,-0.0536,-1.47,355.8
Berkeley,p2325,black,avg,admit_rate,857,-0.2196,-0.216,-0.28,-0.2828,-0.2663,-0.1287,-0.0528,-0.3178,35.0,-0.0238,95.0,0.0934,2.83,355.6
Berkeley,p2325,asian,avg,admit_rate,857,-0.2196,-0.1162,0.1037,0.0084,-0.1793,-0.2618,-0.2348,-0.263,77.5,0.1259,5.0,-0.0835,-2.53,355.8
Berkeley,p2325,pop,avg,admit_rate,859,-0.2186,-0.2161,-0.1741,-0.2011,-0.2021,-0.2718,-0.2645,-0.2718,80.0,-0.1573,5.0,-0.023,-0.7,356.7
Berkeley,p2325,ses,avg,admit_rate,857,-0.2196,-0.0518,0.116,0.0418,-0.0637,-0.2667,-0.3234,-0.3404,95.0,0.1531,5.0,-0.1014,-3.14,355.9
Berkeley,p2325,app_rate_own,avg,admit_rate,860,-0.2184,-0.1695,-0.1624,-0.1375,-0.1672,-0.1607,-0.1892,-0.2125,95.0,-0.1375,20.0,0.0535,1.53,357.1
Berkeley,p2325,app_rate_oth,avg,admit_rate,860,-0.2184,-0.1562,-0.0756,-0.0863,-0.2362,-0.2232,-0.2106,-0.2362,50.0,-0.0752,12.5,-0.0092,-0.26,357.1
Berkeley,p2325,app_vol,avg,admit_rate,860,-0.2184,-0.0358,0.143,0.0629,0.0155,-0.2124,-0.2106,-0.2134,82.5,0.1895,5.0,-0.0355,-1.12,357.1
Davis,p2325,upp,avg,admit_rate,1066,-0.224,-0.0043,-0.3059,-0.1891,0.0576,0.0254,0.032,-0.3506,5.0,0.0591,52.5,0.2219,6.98,442.6
Davis,p2325,sed,avg,admit_rate,1066,-0.224,-0.0146,-0.3118,-0.1984,0.0586,0.0432,0.027,-0.3506,5.0,0.0719,57.5,0.2156,6.72,442.6
Davis,p2325,el,avg,admit_rate,1066,-0.224,-0.2075,-0.2281,-0.3388,-0.3135,-0.1311,-0.0917,-0.3751,30.0,-0.076,95.0,-0.0332,-1.06,441.9
Davis,p2325,r_hisp,avg,admit_rate,1066,-0.224,-0.0686,-0.3155,-0.2127,0.0042,0.0468,0.041,-0.3553,5.0,0.0477,77.5,0.2002,6.13,442.6
Davis,p2325,r_white,avg,admit_rate,1066,-0.224,-0.2032,0.0309,-0.039,-0.2344,-0.339,-0.3873,-0.3963,95.0,0.0488,5.0,-0.1684,-5.04,442.6
Davis,p2325,r_asian,avg,admit_rate,1066,-0.224,-0.0643,0.0273,0.0137,-0.0561,-0.1867,-0.1976,-0.2068,95.0,0.0302,5.0,-0.1151,-3.7,442.6
Davis,p2325,r_black,avg,admit_rate,1066,-0.224,-0.2348,-0.3395,-0.3433,-0.2667,-0.0452,0.0271,-0.3437,27.5,0.0399,95.0,0.1335,4.41,442.6
Davis,p2325,r_urg,avg,admit_rate,1066,-0.224,-0.0538,-0.3244,-0.2297,0.0102,0.0607,0.0612,-0.357,5.0,0.0635,85.0,0.2159,6.66,442.6
Davis,p2325,inc,avg,admit_rate,1060,-0.2245,-0.0688,0.0707,0.0779,0.0455,-0.3236,-0.4594,-0.5137,95.0,0.1098,35.0,-0.237,-8.57,440.1
Davis,p2325,pov,avg,admit_rate,1062,-0.2234,-0.1778,-0.4022,-0.3563,-0.1034,0.0242,0.0125,-0.4261,5.0,0.0259,75.0,0.1858,6.28,441.0
