ceeb,cds14,campus,year,school_name,city,county,applicants,admits,enrollees,admit_rate,app_gpa,adm_gpa,enr_gpa,ela_pct_met,math_pct_met,avg_pct_met,ag_cohort,ag_met_uccsu_count,enroll_9_12,upp_pct,lcff_plus,match_method,match_score
050003,19646831930080,Berkeley,2015,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,78,24,11,30.77,4.00,4.24,4.23,,,,,,,,,gardiner_seed,1.00
050005,01611190130229,Berkeley,2015,ALAMEDA HIGH SCHOOL,Alameda,Alameda,120,26,15,21.67,3.97,4.31,4.30,,,,,,,,,gardiner_seed,1.00
050006,56738745630132,Berkeley,2015,OAK PARK HIGH SCHOOL,Oak Park,Ventura,81,20,11,24.69,4.04,4.28,4.27,,,,,,,,,gardiner_seed,1.00
050008,19753091995786,Berkeley,2015,VASQUEZ HIGH SCHOOL,Acton,Los Angeles,6,,,,3.86,,,,,,,,,,,fuzzy_name_county,1.00
050011,01611190130609,Berkeley,2015,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,6,3,,50.0,4.15,,,,,,,,,,,fuzzy_name_county,0.95
050015,01611190132142,Berkeley,2015,ENCINAL HIGH SCHOOL,Alameda,Alameda,35,5,4,14.29,3.82,4.21,,,,,,,,,,gardiner_seed,1.00
050029,01611190106401,Berkeley,2015,ALAMEDA SCIENCE & TECHNICAL INST,Alameda,Alameda,20,6,5,30.0,3.82,4.21,4.19,,,,,,,,,hand_verified,0.98
050035,01611270130450,Berkeley,2015,ALBANY HIGH SCHOOL,Albany,Alameda,96,21,18,21.88,3.86,4.14,4.16,,,,,,,,,gardiner_seed,1.00
050050,19757131930163,Berkeley,2015,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,54,3,,5.56,3.70,,,,,,,,,,,gardiner_seed,1.00
050055,19757131934553,Berkeley,2015,MARK KEPPEL HIGH SCHOOL,Alhambra,Los Angeles,93,14,8,15.05,3.84,4.16,4.12,,,,,,,,,gardiner_seed,1.00
050068,19647330112045,Berkeley,2015,ARLETA HIGH SCHOOL,Arleta,Los Angeles,18,3,,16.67,3.53,,,,,,,,,,,fuzzy_name_county,1.00
050075,09619030937805,Berkeley,2015,SOUTH TAHOE HIGH SCHOOL,South Lake Tahoe,El Dorado,12,,,,3.96,,,,,,,,,,,fuzzy_name_county,1.00
050077,36676523630225,Berkeley,2015,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,24,4,,16.67,3.94,,,,,,,,,,,gardiner_seed,1.00
050081,30664313033057,Berkeley,2015,KATELLA HIGH SCHOOL,Anaheim,Orange,31,4,,12.9,3.72,,,,,,,,,,,gardiner_seed,1.00
050083,30664313034204,Berkeley,2015,MAGNOLIA HIGH SCHOOL,Anaheim,Orange,25,4,3,16.0,3.74,,,,,,,,,,,gardiner_seed,1.00
050084,30664313033784,Berkeley,2015,LOARA HIGH SCHOOL,Anaheim,Orange,17,3,,17.65,3.87,,,,,,,,,,,gardiner_seed,1.00
050087,30664313036712,Berkeley,2015,SAVANNA HIGH SCHOOL,Anaheim,Orange,11,,,,3.70,,,,,,,,,,,gardiner_seed,1.00
050090,30664313030228,Berkeley,2015,ANAHEIM HIGH SCHOOL,Anaheim,Orange,19,4,3,21.05,3.56,,,,,,,,,,,gardiner_seed,1.00
050092,30664313038239,Berkeley,2015,WESTERN HIGH SCHOOL,Anaheim,Orange,17,,,,3.37,,,,,,,,,,,gardiner_seed,1.00
050093,30666473030053,Berkeley,2015,ESPERANZA HIGH SCHOOL,Anaheim,Orange,31,,,,3.88,,,,,,,,,,,fuzzy_name_county,1.00
050100,05615560532507,Berkeley,2015,BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,12,,,,3.97,,,,,,,,,,,fuzzy_name_county,1.00
050109,07616480730465,Berkeley,2015,DEER VALLEY HIGH SCHOOL,Antioch,Contra Costa,41,4,4,9.76,3.81,,,,,,,,,,,fuzzy_name_county,1.00
050115,07616480730861,Berkeley,2015,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,25,,,,3.71,,,,,,,,,,,fuzzy_name_county,1.00
050118,36750773630423,Berkeley,2015,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,12,5,3,41.67,4.14,4.32,,,,,,,,,,gardiner_seed,1.00
050119,44697994430518,Berkeley,2015,APTOS HIGH SCHOOL,Aptos,Santa Cruz,37,5,,13.51,3.98,4.29,,,,,,,,,,fuzzy_name_county,1.00
050126,36750773631207,Berkeley,2015,ACADEMY FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,8,,,,3.77,,,,,,,,,,,fuzzy_name_county,1.00
050130,19642611930288,Berkeley,2015,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,293,55,29,18.77,3.86,4.22,4.22,,,,,,,,,gardiner_seed,1.00
050134,36750773630894,Berkeley,2015,GRANITE HILLS HIGH SCHOOL,Apple Valley,San Bernardino,14,4,3,28.57,3.88,,,,,,,,,,,gardiner_seed,1.00
050135,12626871230705,Berkeley,2015,ARCATA HIGH SCHOOL,Arcata,Humboldt,23,3,,13.04,4.00,,,,,,,,,,,fuzzy_name_county,1.00
050150,40687594030557,Berkeley,2015,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,49,12,,24.49,4.07,4.32,,,,,,,,,,fuzzy_name_county,1.00
050155,19642121930361,Berkeley,2015,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,15,,,,3.73,,,,,,,,,,,gardiner_seed,1.00
050160,15635291530252,Berkeley,2015,ARVIN HIGH SCHOOL,Arvin,Kern,6,,,,3.77,,,,,,,,,,,gardiner_seed,1.00
050165,40687004030755,Berkeley,2015,ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,16,,,,3.67,,,,,,,,,,,fuzzy_name_county,1.00
050170,41690624133716,Berkeley,2015,MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo,116,20,6,17.24,3.95,4.24,4.24,,,,,,,,,gardiner_seed,1.00
050172,24657892430601,Berkeley,2015,ATWATER HIGH SCHOOL,Atwater,Merced,25,6,4,24.0,3.99,4.32,,,,,,,,,,fuzzy_name_county,1.00
