ceeb,campus,year,applicants,admits,denied,app_gpa,adm_gpa,den_gpa
000933,Berkeley,1998,7.0,,,,,
000933,Berkeley,2005,5.0,,,,,
000933,Berkeley,2006,7.0,,,,,
000933,Berkeley,2009,6.0,,,,,
000933,Berkeley,2010,7.0,4.0,3.0,,,
000933,Berkeley,2011,7.0,,,,,
000933,Berkeley,2012,6.0,4.0,2.0,,,
000933,Berkeley,2013,20.0,3.0,17.0,,,
000933,Berkeley,2014,14.0,,,,,
000933,Berkeley,2015,23.0,5.0,18.0,,,
000933,Berkeley,2016,31.0,3.0,28.0,,,
000933,Berkeley,2017,29.0,6.0,23.0,,,
000933,Berkeley,2018,30.0,6.0,24.0,,,
000933,Berkeley,2019,33.0,5.0,28.0,,,
000933,Berkeley,2020,37.0,11.0,26.0,,,
000933,Berkeley,2021,24.0,7.0,17.0,,,
000933,Berkeley,2022,19.0,5.0,14.0,,,
000933,Berkeley,2023,23.0,4.0,19.0,,,
000933,Berkeley,2024,21.0,5.0,16.0,,,
000933,Berkeley,2025,38.0,6.0,32.0,,,
000933,Davis,2010,5.0,,,,,
000933,Davis,2011,6.0,3.0,3.0,,,
000933,Davis,2013,5.0,,,,,
000933,Davis,2014,7.0,,,,,
000933,Davis,2015,10.0,3.0,7.0,,,
000933,Davis,2016,17.0,8.0,9.0,,,
000933,Davis,2017,20.0,13.0,7.0,,,
000933,Davis,2018,15.0,9.0,6.0,,,
000933,Davis,2019,29.0,11.0,18.0,,,
000933,Davis,2020,15.0,6.0,9.0,,,
000933,Davis,2021,24.0,13.0,11.0,,,
000933,Davis,2022,9.0,6.0,3.0,,,
000933,Davis,2023,15.0,11.0,4.0,,,
000933,Davis,2024,15.0,8.0,7.0,,,
000933,Davis,2025,17.0,10.0,7.0,,,
000933,Irvine,1994,14.0,5.0,9.0,,,
000933,Irvine,1995,13.0,5.0,8.0,,,
000933,Irvine,1996,18.0,8.0,10.0,,,
000933,Irvine,1997,12.0,8.0,4.0,,,
000933,Irvine,1998,19.0,5.0,14.0,,,
000933,Irvine,1999,12.0,5.0,7.0,,,
000933,Irvine,2000,12.0,3.0,9.0,,,
000933,Irvine,2001,13.0,6.0,7.0,,,
000933,Irvine,2002,17.0,9.0,8.0,,,
000933,Irvine,2006,5.0,3.0,2.0,,,
000933,Irvine,2009,6.0,3.0,3.0,,,
000933,Irvine,2010,6.0,,,,,
000933,Irvine,2011,10.0,6.0,4.0,,,
000933,Irvine,2012,7.0,4.0,3.0,,,
000933,Irvine,2013,37.0,11.0,26.0,,,
000933,Irvine,2014,38.0,14.0,24.0,,,
000933,Irvine,2015,48.0,23.0,25.0,,,
000933,Irvine,2016,63.0,20.0,43.0,,,
000933,Irvine,2017,45.0,24.0,21.0,,,
000933,Irvine,2018,43.0,18.0,25.0,,,
000933,Irvine,2019,63.0,32.0,31.0,,,
000933,Irvine,2020,67.0,28.0,39.0,,,
000933,Irvine,2021,49.0,21.0,28.0,,,
000933,Irvine,2022,37.0,13.0,24.0,,,
000933,Irvine,2023,44.0,20.0,24.0,,,
000933,Irvine,2024,50.0,15.0,35.0,,,
000933,Irvine,2025,46.0,17.0,29.0,,,
000933,Los Angeles,1994,7.0,,,,,
000933,Los Angeles,1995,6.0,,,,,
000933,Los Angeles,1996,10.0,5.0,5.0,,,
000933,Los Angeles,1997,6.0,,,,,
000933,Los Angeles,1998,10.0,3.0,7.0,,,
000933,Los Angeles,1999,8.0,,,,,
000933,Los Angeles,2000,9.0,,,,,
000933,Los Angeles,2001,6.0,,,,,
000933,Los Angeles,2002,10.0,4.0,6.0,,,
000933,Los Angeles,2003,7.0,3.0,4.0,,,
000933,Los Angeles,2005,7.0,3.0,4.0,,,
000933,Los Angeles,2006,7.0,4.0,3.0,,,
000933,Los Angeles,2007,8.0,3.0,5.0,,,
