ceeb,campus,year,applicants,admits,denied,app_gpa,adm_gpa,den_gpa
054018,Riverside,2008,35.0,32.0,3.0,3.36,3.42,2.719999999999999
050035,Los Angeles,2018,105.0,13.0,92.0,3.94,4.24,3.8976086956521736
051570,Berkeley,2017,11.0,,,,,
054450,Santa Barbara,2015,,,,3.38,,
052714,San Diego,2005,55.0,27.0,28.0,,,
051340,San Diego,1995,8.0,3.0,5.0,3.7,,
050175,Berkeley,2007,26.0,5.0,21.0,3.97,4.34,3.8819047619047615
054353,Irvine,2025,60.0,10.0,50.0,3.84,4.05,3.7979999999999996
053818,Universitywide,2013,26.0,10.0,16.0,3.46,3.95,3.1537499999999996
050083,Irvine,2003,41.0,18.0,23.0,3.71,4.01,3.4752173913043474
053545,Davis,2023,17.0,9.0,8.0,4.0,4.2,3.7749999999999995
050175,Irvine,2020,9.0,4.0,5.0,4.09,,
051727,Santa Cruz,2001,29.0,29.0,0.0,,,
051311,Merced,2006,26.0,25.0,1.0,,,
053055,Universitywide,2000,111.0,90.0,21.0,3.54,3.66,3.025714285714284
053802,Davis,2002,20.0,15.0,5.0,,,
050455,Irvine,2017,,,,3.7,,
050118,Irvine,2022,66.0,18.0,48.0,4.03,4.23,3.955
051953,San Diego,2009,18.0,,,3.56,,
053305,San Diego,2021,33.0,12.0,21.0,3.56,4.09,3.2571428571428576
050217,San Diego,2010,60.0,23.0,37.0,3.81,4.15,3.598648648648648
051710,Santa Barbara,2019,36.0,18.0,18.0,,,
051313,Irvine,2025,242.0,40.0,202.0,3.94,4.22,3.884554455445545
050581,Irvine,2012,40.0,15.0,25.0,3.69,4.05,3.4739999999999998
053078,San Diego,2008,107.0,37.0,70.0,,,
051504,Riverside,2011,15.0,5.0,10.0,3.26,3.75,3.0149999999999997
051986,San Diego,2018,13.0,3.0,10.0,4.02,,
050925,Santa Barbara,2016,25.0,12.0,13.0,3.51,3.83,3.2146153846153847
053868,Santa Barbara,2014,46.0,20.0,26.0,3.91,4.19,3.6946153846153846
054054,Merced,2013,23.0,15.0,8.0,3.61,3.71,3.4225000000000003
050215,Santa Cruz,2004,20.0,13.0,7.0,,,
005762,Universitywide,2023,65.0,48.0,17.0,,,
051150,Davis,2013,33.0,9.0,24.0,3.55,4.1,3.34375
050310,Davis,2003,53.0,24.0,29.0,,,
054204,Davis,2016,64.0,23.0,41.0,3.81,4.19,3.596829268292683
052705,San Diego,2015,52.0,13.0,39.0,3.7,4.14,3.5533333333333337
053501,Riverside,2008,14.0,14.0,0.0,,,
052502,San Diego,2013,37.0,11.0,26.0,,,
050663,Irvine,2002,15.0,10.0,5.0,3.74,3.82,3.580000000000001
052894,Santa Cruz,2000,9.0,9.0,0.0,3.92,3.92,
050905,San Diego,2015,11.0,4.0,7.0,3.79,,
051283,Irvine,2017,223.0,88.0,135.0,3.84,4.14,3.644444444444444
052270,Irvine,2007,16.0,8.0,8.0,,,
053208,San Diego,2015,7.0,,,3.46,,
052060,Berkeley,2006,48.0,9.0,39.0,3.87,4.05,3.8284615384615384
051349,Santa Barbara,2021,43.0,8.0,35.0,,,
052380,Merced,2018,5.0,4.0,1.0,,,
004655,Riverside,2010,14.0,9.0,5.0,,,
051788,Santa Cruz,2022,37.0,22.0,15.0,3.69,3.93,3.3379999999999996
053304,Berkeley,2016,17.0,6.0,11.0,,,
051271,Berkeley,2015,93.0,23.0,70.0,3.93,4.22,3.834714285714286
050599,Santa Barbara,2011,18.0,12.0,6.0,,,
002830,Berkeley,2017,82.0,27.0,55.0,,,
052365,Berkeley,2008,15.0,3.0,12.0,3.78,,
054527,Santa Cruz,2022,10.0,5.0,5.0,3.66,3.95,3.37
051976,Universitywide,2017,180.0,113.0,67.0,3.75,3.88,3.5307462686567166
052869,San Diego,1997,21.0,16.0,5.0,4.03,4.11,3.774000000000001
051356,Santa Cruz,2014,10.0,7.0,3.0,,,
053690,Santa Barbara,2011,10.0,5.0,5.0,3.53,3.84,3.2199999999999998
051175,Davis,2009,7.0,4.0,3.0,3.99,,
054624,Riverside,2022,29.0,11.0,18.0,3.53,3.67,3.444444444444444
053415,Santa Cruz,2019,14.0,4.0,10.0,3.64,,
004296,Los Angeles,1997,113.0,58.0,55.0,,,
050224,Santa Cruz,2014,9.0,6.0,3.0,3.66,3.83,3.319999999999999
053087,Merced,2017,34.0,31.0,3.0,3.69,3.78,2.7600000000000002
050884,Merced,2013,13.0,12.0,1.0,3.7,3.78,2.740000000000002
050740,Universitywide,2011,48.0,35.0,13.0,3.46,3.63,3.0023076923076912
051983,Los Angeles,2015,5.0,,,3.75,,
053522,Universitywide,2023,208.0,146.0,62.0,3.88,3.94,3.738709677419354
051862,Berkeley,2011,14.0,,,3.82,,
050126,Berkeley,2009,7.0,,,4.08,,
050721,Los Angeles,2014,12.0,,,3.92,,
052617,Davis,2019,35.0,12.0,23.0,3.82,4.18,3.632173913043478
050228,Los Angeles,2007,36.0,8.0,28.0,3.62,4.16,3.4657142857142853
052319,Universitywide,2007,97.0,86.0,11.0,3.65,3.72,3.102727272727272
050134,Universitywide,2009,61.0,52.0,9.0,3.78,3.9,3.086666666666667
052837,Santa Cruz,2007,16.0,15.0,1.0,3.8,3.88,2.6000000000000014
052782,Irvine,2003,9.0,4.0,5.0,3.86,,
051575,Universitywide,2007,34.0,27.0,7.0,3.52,3.61,3.172857142857144
052792,Berkeley,2000,20.0,,,3.64,,
053927,Merced,2022,20.0,19.0,1.0,3.74,3.76,3.3600000000000136
050050,Berkeley,2010,91.0,5.0,86.0,3.71,4.11,3.6867441860465116
054081,Merced,2018,19.0,11.0,8.0,3.62,3.83,3.33125
050015,Berkeley,2003,38.0,7.0,31.0,3.44,4.1,3.2909677419354844
052132,Santa Cruz,2003,8.0,6.0,2.0,3.63,3.77,3.209999999999999
004502,Santa Barbara,2020,20.0,13.0,7.0,,,
050165,San Diego,2011,6.0,6.0,0.0,4.3,4.3,
004608,Davis,2019,10.0,7.0,3.0,,,
004052,Riverside,2012,114.0,86.0,28.0,,,
052525,Universitywide,1996,,,,3.82,3.82,
050829,Davis,2013,51.0,28.0,23.0,3.77,4.09,3.3804347826086962
053802,Santa Barbara,2020,39.0,13.0,26.0,,,
054618,Merced,2021,12.0,9.0,3.0,3.25,3.48,2.56
050806,Irvine,2005,12.0,6.0,6.0,3.62,3.93,3.309999999999999
053080,Universitywide,2020,208.0,140.0,68.0,,,
052550,San Diego,2025,34.0,9.0,25.0,3.9,4.27,3.7668
050944,San Diego,2009,15.0,6.0,9.0,3.76,4.06,3.56
052401,Santa Cruz,2015,49.0,18.0,31.0,3.64,4.0,3.4309677419354845
053386,Merced,2009,22.0,22.0,0.0,3.4,3.4,
053633,Irvine,2023,76.0,10.0,66.0,3.81,4.22,3.747878787878788
004117,Universitywide,2002,218.0,169.0,49.0,,,
050867,Merced,2014,7.0,5.0,2.0,,,
052975,Merced,2009,19.0,19.0,0.0,,,
050871,Berkeley,2014,9.0,,,4.14,,
051244,San Diego,2010,29.0,6.0,23.0,,,
051984,Irvine,2010,302.0,173.0,129.0,3.71,3.95,3.388139534883721
052388,Santa Barbara,2009,34.0,15.0,19.0,3.6,4.04,3.2526315789473688
052175,Santa Cruz,2007,6.0,5.0,1.0,3.7,3.76,3.4000000000000057
054101,San Diego,2022,95.0,58.0,37.0,3.99,4.2,3.6608108108108106
052282,Universitywide,2023,170.0,109.0,61.0,4.02,4.07,3.930655737704917
053173,Berkeley,2021,16.0,,,,,
051352,Los Angeles,2023,58.0,,,3.88,,
053100,Merced,2013,26.0,16.0,10.0,3.44,3.57,3.232
051554,Riverside,2021,17.0,11.0,6.0,,,
053633,Universitywide,1998,94.0,65.0,29.0,3.51,3.68,3.1289655172413786
052130,Davis,2016,51.0,16.0,35.0,3.79,4.2,3.6025714285714283
053655,Santa Barbara,2004,36.0,22.0,14.0,3.86,4.02,3.6085714285714294
053490,Berkeley,1999,8.0,,,3.83,,
004070,Santa Barbara,2018,255.0,174.0,81.0,,,
050402,Universitywide,2002,34.0,29.0,5.0,,,
052994,Merced,2019,44.0,32.0,12.0,3.68,3.83,3.280000000000001
052290,Riverside,2015,14.0,7.0,7.0,3.62,3.97,3.2699999999999996
053033,Berkeley,2022,69.0,19.0,50.0,4.03,4.23,3.9539999999999997
053316,Berkeley,2000,12.0,3.0,9.0,3.79,,
052015,Santa Barbara,2008,42.0,20.0,22.0,3.53,3.86,3.2299999999999995
053552,Riverside,2014,7.0,4.0,3.0,3.81,,
050651,Universitywide,2004,24.0,16.0,8.0,3.52,3.69,3.1800000000000006
052867,Irvine,2013,53.0,19.0,34.0,3.74,4.19,3.4885294117647057
051680,Santa Cruz,2011,10.0,3.0,7.0,3.14,,
053400,Berkeley,2024,34.0,6.0,28.0,3.92,4.16,3.8685714285714283
054120,Los Angeles,2023,47.0,4.0,43.0,3.57,,
050421,Santa Barbara,2015,137.0,45.0,92.0,3.73,4.08,3.5588043478260865
052618,Universitywide,2011,170.0,119.0,51.0,3.58,3.74,3.206666666666667
050470,Irvine,2020,25.0,9.0,16.0,,,
053092,Santa Barbara,2022,125.0,27.0,98.0,4.03,4.37,3.9363265306122455
053795,Los Angeles,2013,6.0,3.0,3.0,3.9,,
051028,Riverside,2018,136.0,73.0,63.0,3.5,3.75,3.2103174603174605
051700,Santa Barbara,2002,27.0,8.0,19.0,3.37,3.71,3.226842105263158
050215,Los Angeles,2025,24.0,5.0,19.0,,,
050620,Universitywide,2010,42.0,32.0,10.0,3.8,3.96,3.2879999999999994
051327,Irvine,2013,69.0,32.0,37.0,3.75,4.01,3.525135135135135
004046,Berkeley,2016,98.0,21.0,77.0,,,
051576,Irvine,1997,11.0,6.0,5.0,3.75,4.05,3.3900000000000006
054173,Berkeley,2014,5.0,3.0,2.0,3.97,,
054201,Universitywide,2011,33.0,20.0,13.0,3.75,3.98,3.3961538461538465
052225,Los Angeles,2015,60.0,17.0,43.0,3.74,4.13,3.585813953488372
052298,Berkeley,1994,5.0,,,3.26,,
052553,Irvine,2025,21.0,,,3.63,,
052665,Riverside,2004,93.0,72.0,21.0,3.5,3.63,3.054285714285714
052017,Los Angeles,2025,21.0,,,3.77,,
053800,Davis,1999,47.0,37.0,10.0,3.61,3.7,3.2769999999999984
050185,Los Angeles,2009,10.0,3.0,7.0,3.3,,
052167,Los Angeles,2011,42.0,6.0,36.0,3.81,4.17,3.75
052315,Santa Cruz,2009,8.0,7.0,1.0,3.59,3.7,2.8199999999999967
051955,Irvine,2021,35.0,,,,,
054815,Berkeley,2022,55.0,4.0,51.0,4.08,,
054245,Berkeley,2023,52.0,,,3.87,,
051945,Irvine,2013,15.0,3.0,12.0,3.54,,
052284,Universitywide,2019,17.0,11.0,6.0,4.01,4.07,3.9
004015,Universitywide,2018,152.0,102.0,50.0,,,
050659,San Diego,2021,70.0,11.0,59.0,3.89,4.33,3.8079661016949156
050727,Davis,1994,67.0,52.0,15.0,3.67,3.77,3.323333333333333
053342,Irvine,2025,28.0,,,3.76,,
053435,Merced,2019,14.0,13.0,1.0,,,
051625,Merced,2012,5.0,5.0,0.0,,,
053585,San Diego,2022,16.0,6.0,10.0,,,
052240,Irvine,2022,135.0,35.0,100.0,3.96,4.23,3.8655
051082,Santa Barbara,2006,7.0,,,3.21,,
050937,Los Angeles,2011,8.0,3.0,5.0,3.8,,
052053,Davis,2025,18.0,7.0,11.0,,,
052902,Riverside,2019,35.0,12.0,23.0,3.63,4.07,3.4004347826086954
053420,Santa Cruz,2015,16.0,4.0,12.0,3.57,,
051955,Universitywide,1996,49.0,38.0,11.0,,,
