ccc_id,name,county
ALAMEDA,College of Alameda,Alameda
APTOS,Cabrillo College,Santa Cruz
BAKERSFIELD,Bakersfield College,Kern
BARSTOW,Barstow Community College,San Bernardino
BERKELEY,Berkeley City College,Alameda
CHULA VISTA,Southwestern College,San Diego
COALINGA,Coalinga College,Fresno
COSTA MESA,Orange Coast College,Orange
CULVER CITY,West Los Angeles College,Los Angeles
CUPERTINO,De Anza College,Santa Clara
CYPRESS,Cypress College,Orange
EL CAJON,Cuyamaca College,San Diego
EUREKA,College of the Redwoods,Humboldt
FAIRFIELD,Solano Community College,Solano
FOLSOM,Folsom Lake College,Sacramento
FOUNTAIN VALLEY,Coastline Community College,Orange
FREMONT,Ohlone College,Alameda
FRESNO,Clovis Community College,Fresno
FULLERTON,Fullerton College,Orange
GILROY,Gavilan College,Santa Clara
GLENDALE,Glendale Community College,Los Angeles
GLENDORA,Citrus College,Los Angeles
HAYWARD,Chabot College,Alameda
HUNTINGTON BEACH,Golden West College,Orange
IMPERIAL,Imperial Valley College,Imperial
IRVINE,Irvine Valley College,Orange
JOSHUA TREE,Copper Mountain College,San Bernardino
KENTFIELD,College of Marin,Marin
LANCASTER,Antelope Valley College,Los Angeles
LEMOORE,Lemoore College,Kings
LIVERMORE,Las Positas College,Alameda
LONG BEACH,Long Beach City College,Los Angeles
LOS ALTOS HILLS,Foothill College,Santa Clara
LOS ANGELES,Los Angeles City College,Los Angeles
MADERA,Madera Community College,Madera
MARYSVILLE,Yuba College,Yuba
MERCED,Merced College,Merced
MISSION VIEJO,Saddleback College,Orange
MODESTO,Modesto Junior College,Stanislaus
MONTEREY,Monterey Peninsula College,Monterey
MONTEREY PARK,East Los Angeles College,Los Angeles
MOORPARK,Moorpark College,Ventura
MORENO VALLEY,Moreno Valley College,Riverside
NAPA,Napa Valley College,Napa
NORCO,Norco College,Riverside
NORWALK,Cerritos College,Los Angeles
OAKLAND,Laney College,Alameda
OCEANSIDE,Miracosta College,San Diego
ORANGE,Santiago Canyon College,Orange
OROVILLE,Butte College,Butte
OXNARD,Oxnard College,Ventura
PALM DESERT,College of the Desert,Riverside
PASADENA,Pasadena City College,Los Angeles
PITTSBURG,Los Medanos College,Contra Costa
PLEASANT HILL,Diablo Valley College,Contra Costa
PORTERVILLE,Porterville College,Tulare
RANCHO CUCAMONGA,Chaffey College,San Bernardino
REDDING,Shasta College,Shasta
REDWOOD CITY,Canada College,San Mateo
REEDLEY,Reedley College,Fresno
RIDGECREST,Cerro Coso Community College,Kern
RIVERSIDE,Riverside City College,Riverside
ROCKLIN,Sierra College,Placer
SACRAMENTO,American River College,Sacramento
SALINAS,Hartnell College,Monterey
SAN BERNARDINO,San Bernardino Valley College,San Bernardino
SAN BRUNO,Skyline College,San Mateo
SAN DIEGO,San Diego City College,San Diego
SAN FRANCISCO,City College of San Francisco,San Francisco
SAN JACINTO,Mount San Jacinto College,Riverside
SAN JOSE,Evergreen Valley College,Santa Clara
SAN LUIS OBISPO,Cuesta College,San Luis Obispo
SAN MARCOS,Palomar College,San Diego
SAN MATEO,College of San Mateo,San Mateo
SAN PABLO,Contra Costa College,Contra Costa
SANTA ANA,Santa Ana College,Orange
SANTA BARBARA,Santa Barbara City College,Santa Barbara
SANTA CLARA,Mission College,Santa Clara
SANTA MARIA,Allan Hancock College,Santa Barbara
SANTA MONICA,Santa Monica College,Los Angeles
SANTA ROSA,Santa Rosa Junior College,Sonoma
SARATOGA,West Valley College,Santa Clara
SONORA,Columbia College,Tuolumne
SOUTH LAKE TAHOE,Lake Tahoe Community College,El Dorado
STOCKTON,San Joaquin Delta College,San Joaquin
SYLMAR,Los Angeles Mission College,Los Angeles
TAFT,Taft College,Kern
TORRANCE,El Camino College,Los Angeles
UKIAH,Mendocino College,Mendocino
VALENCIA,College of the Canyons,Los Angeles
VAN NUYS,Los Angeles Valley College,Los Angeles
VENTURA,Ventura College,Ventura
VICTORVILLE,Victor Valley College,San Bernardino
VISALIA,College of the Sequoias,Tulare
WALNUT,Mount San Antonio College,Los Angeles
WEED,College of the Siskiyous,Siskiyou
WHITTIER,Rio Hondo College,Los Angeles
WILMINGTON,Los Angeles Harbor College,Los Angeles
WOODLAND,Woodland Community College,Yolo
WOODLAND HILLS,Los Angeles Pierce College,Los Angeles
YUCAIPA,Crafton Hills College,San Bernardino
