campus,ccc_id,entry_year,cohort_n,ret1_pct,grad2_pct,grad3_pct,grad4_pct
All,ALAMEDA,1999,44,86,39,64,75
All,ALAMEDA,2000,39,77,33,59,67
All,ALAMEDA,2001,45,87,29,58,67
All,ALAMEDA,2002,60,82,40,62,73
All,ALAMEDA,2003,38,87,34,55,61
All,ALAMEDA,2004,55,84,60,82,82
All,ALAMEDA,2005,55,84,42,82,91
All,ALAMEDA,2006,47,83,47,70,77
All,ALAMEDA,2007,46,80,37,72,76
All,ALAMEDA,2008,39,90,36,72,82
All,ALAMEDA,2009,41,90,49,76,85
All,ALAMEDA,2010,43,84,56,81,81
All,ALAMEDA,2011,46,87,43,76,78
All,ALAMEDA,2012,44,84,43,68,73
All,ALAMEDA,2013,64,83,39,72,80
All,ALAMEDA,2014,58,97,45,79,86
All,ALAMEDA,2015,62,85,44,77,81
All,ALAMEDA,2016,63,90,62,79,87
All,ALAMEDA,2017,74,95,61,85,92
All,ALAMEDA,2018,61,89,57,84,89
All,ALAMEDA,2019,79,95,66,89,92
All,ALAMEDA,2020,71,90,51,75,77
All,ALAMEDA,2021,77,95,70,90,92
All,ALAMEDA,2022,86,87,50,81,
All,ALAMEDA,2023,69,91,62,,
All,ALAMEDA,2024,111,92,,,
All,APTOS,1999,140,94,51,79,86
All,APTOS,2000,191,92,48,77,85
All,APTOS,2001,216,87,55,78,81
All,APTOS,2002,187,93,51,77,83
All,APTOS,2003,213,92,49,80,85
All,APTOS,2004,246,89,57,78,85
All,APTOS,2005,210,90,55,86,90
All,APTOS,2006,164,91,52,82,85
All,APTOS,2007,155,90,54,79,85
All,APTOS,2008,185,90,48,78,82
All,APTOS,2009,219,90,53,82,88
All,APTOS,2010,229,91,60,83,85
All,APTOS,2011,204,91,57,81,86
All,APTOS,2012,198,92,57,81,85
All,APTOS,2013,205,93,60,84,89
All,APTOS,2014,198,92,60,87,89
All,APTOS,2015,186,91,62,84,89
All,APTOS,2016,241,94,66,87,88
All,APTOS,2017,251,93,67,84,88
All,APTOS,2018,283,93,64,87,90
All,APTOS,2019,276,92,66,83,87
All,APTOS,2020,218,93,59,83,86
All,APTOS,2021,215,90,64,83,87
All,APTOS,2022,210,94,72,88,
All,APTOS,2023,170,96,79,,
All,APTOS,2024,218,96,,,
All,BAKERSFIELD,1999,44,91,43,80,86
All,BAKERSFIELD,2000,42,90,43,76,79
All,BAKERSFIELD,2001,60,90,43,77,85
All,BAKERSFIELD,2002,42,95,43,74,76
All,BAKERSFIELD,2003,51,88,49,69,73
All,BAKERSFIELD,2004,61,89,49,84,85
