campus,year,group,c150_pct,d150,ret_ft4_pct,pctpell,ftftpctpell,ugds
Berkeley,1996,__campus__,,,,,,21226
Davis,1996,__campus__,,,,,,18738
Irvine,1996,__campus__,,,,,,14240
Los Angeles,1996,__campus__,,,,,,23912
Riverside,1996,__campus__,,,,,,7665
San Diego,1996,__campus__,,,,,,14595
Santa Barbara,1996,__campus__,,,,,,16272
Santa Cruz,1996,__campus__,,,,,,9154
Berkeley,1997,overall,80.5,3241,,,,
Berkeley,1997,international,84.8,112,,,,
Berkeley,1997,unknown,84.6,208,,,,
Berkeley,1997,__campus__,,,,,,21618
Davis,1997,overall,73.7,2272,,,,
Davis,1997,international,73.9,23,,,,
Davis,1997,unknown,72.0,107,,,,
Davis,1997,__campus__,,,,,,19002
Irvine,1997,overall,74.7,2323,,,,
Irvine,1997,international,70.6,34,,,,
Irvine,1997,unknown,70.1,127,,,,
Irvine,1997,__campus__,,,,,,14104
Los Angeles,1997,overall,78.8,3922,,,,
Los Angeles,1997,international,83.7,49,,,,
Los Angeles,1997,unknown,75.8,33,,,,
Los Angeles,1997,__campus__,,,,,,23924
Riverside,1997,overall,67.6,1387,,,,
Riverside,1997,international,55.6,18,,,,
Riverside,1997,unknown,63.2,57,,,,
Riverside,1997,__campus__,,,,,,8378
San Diego,1997,overall,78.8,2468,,,,
San Diego,1997,international,62.1,29,,,,
San Diego,1997,unknown,83.4,181,,,,
San Diego,1997,__campus__,,,,,,15103
Santa Barbara,1997,overall,72.5,2967,,,,
Santa Barbara,1997,international,64.5,31,,,,
Santa Barbara,1997,unknown,74.1,174,,,,
Santa Barbara,1997,__campus__,,,,,,16698
Santa Cruz,1997,overall,65.0,1789,,,,
Santa Cruz,1997,international,100.0,13,,,,
Santa Cruz,1997,unknown,70.4,125,,,,
Santa Cruz,1997,__campus__,,,,,,9562
Berkeley,1998,overall,82.8,3455,,,,
Berkeley,1998,international,78.2,87,,,,
Berkeley,1998,unknown,79.5,253,,,,
Berkeley,1998,__campus__,,,,,,22259
Davis,1998,overall,73.4,2872,,,,
Davis,1998,international,57.1,42,,,,
Davis,1998,unknown,74.0,154,,,,
Davis,1998,__campus__,,,,,,19258
Irvine,1998,overall,74.1,2787,,,,
Irvine,1998,international,77.5,49,,,,
Irvine,1998,unknown,78.3,143,,,,
Irvine,1998,__campus__,,,,,,14336
Los Angeles,1998,overall,77.9,3412,,,,
Los Angeles,1998,international,79.6,54,,,,
Los Angeles,1998,unknown,60.5,43,,,,
Los Angeles,1998,__campus__,,,,,,24101
Riverside,1998,overall,67.8,1238,,,,
Riverside,1998,international,50.0,2,,,,
Riverside,1998,unknown,70.8,48,,,,
Riverside,1998,__campus__,,,,,,9125
San Diego,1998,overall,79.8,2612,,,,
San Diego,1998,international,63.6,33,,,,
San Diego,1998,unknown,73.1,186,,,,
San Diego,1998,__campus__,,,,,,15818
Santa Barbara,1998,overall,70.3,3218,,,,
Santa Barbara,1998,international,48.5,33,,,,
Santa Barbara,1998,unknown,75.0,192,,,,
Santa Barbara,1998,__campus__,,,,,,17048
Santa Cruz,1998,__campus__,,,,,,9921
Berkeley,1999,overall,82.3,3233,,,,
Berkeley,1999,international,94.1,68,,,,
Berkeley,1999,unknown,88.6,184,,,,
Berkeley,1999,__campus__,,,,,,22593
Davis,1999,overall,75.5,3095,,,,
Davis,1999,international,37.0,46,,,,
Davis,1999,unknown,77.0,174,,,,
Davis,1999,__campus__,,,,,,19393
Irvine,1999,overall,74.5,2367,,,,
Irvine,1999,international,60.5,38,,,,
Irvine,1999,unknown,68.1,116,,,,
Irvine,1999,__campus__,,,,,,15361
Los Angeles,1999,overall,78.6,3387,,,,
Los Angeles,1999,international,77.4,62,,,,
Los Angeles,1999,unknown,50.0,34,,,,
Los Angeles,1999,__campus__,,,,,,24667
Riverside,1999,overall,66.0,1402,,,,
Riverside,1999,international,25.0,8,,,,
Riverside,1999,unknown,59.6,94,,,,
Riverside,1999,__campus__,,,,,,10118
San Diego,1999,overall,79.1,2450,,,,
San Diego,1999,international,54.5,22,,,,
San Diego,1999,unknown,78.1,237,,,,
San Diego,1999,__campus__,,,,,,16211
Santa Barbara,1999,overall,67.2,3239,,,,
Santa Barbara,1999,international,62.5,40,,,,
Santa Barbara,1999,unknown,64.3,182,,,,
Santa Barbara,1999,__campus__,,,,,,17685
Santa Cruz,1999,overall,67.7,1679,,,,
Santa Cruz,1999,international,55.6,9,,,,
Santa Cruz,1999,unknown,72.9,133,,,,
Santa Cruz,1999,__campus__,,,,,,10228
Berkeley,2000,overall,83.1,3351,,,,
Berkeley,2000,international,88.0,100,,,,
Berkeley,2000,unknown,87.8,180,,,,
Davis,2000,overall,72.2,3178,,,,
Davis,2000,international,41.3,75,,,,
Davis,2000,unknown,80.5,149,,,,
Irvine,2000,overall,72.5,2580,,,,
Irvine,2000,international,72.8,81,,,,
Irvine,2000,unknown,81.4,102,,,,
Los Angeles,2000,overall,79.8,4124,,,,
Los Angeles,2000,international,76.5,68,,,,
Los Angeles,2000,unknown,72.3,47,,,,
Riverside,2000,overall,64.1,1383,,,,
Riverside,2000,international,72.7,11,,,,
Riverside,2000,unknown,57.7,52,,,,
San Diego,2000,overall,77.9,2809,,,,
San Diego,2000,international,66.7,27,,,,
San Diego,2000,unknown,79.7,236,,,,
Santa Barbara,2000,overall,66.8,2881,,,,
Santa Barbara,2000,international,60.5,43,,,,
Santa Barbara,2000,unknown,71.6,155,,,,
Santa Cruz,2000,overall,64.1,1754,,,,
Santa Cruz,2000,international,66.7,15,,,,
Santa Cruz,2000,unknown,64.2,137,,,,
Berkeley,2001,overall,82.3,3424,,,,
Berkeley,2001,international,82.7,104,,,,
Berkeley,2001,unknown,83.4,199,,,,
Berkeley,2001,__campus__,,,,,,23267
Davis,2001,overall,73.7,3260,,,,
Davis,2001,international,27.5,91,,,,
Davis,2001,unknown,72.7,172,,,,
Davis,2001,__campus__,,,,,,21217
Irvine,2001,overall,72.2,2829,,,,
Irvine,2001,international,76.8,95,,,,
Irvine,2001,unknown,71.0,131,,,,
Irvine,2001,__campus__,,,,,,17723
Los Angeles,2001,overall,82.4,3701,,,,
Los Angeles,2001,international,85.3,34,,,,
Los Angeles,2001,unknown,86.8,38,,,,
Los Angeles,2001,__campus__,,,,,,25326
Riverside,2001,overall,63.5,1514,,,,
Riverside,2001,international,75.0,16,,,,
