campus,group,years_after_entry,outcome,rate_pct,cohort_n
Berkeley,first_generation,2,comp_2yr_trans,4.2,2448
Berkeley,first_generation,2,comp_orig,29.8,2448
Berkeley,first_generation,2,enrl_orig,51.7,2448
Berkeley,first_generation,2,wdraw_orig,6.2,2448
Berkeley,first_generation,3,comp_2yr_trans,3.2,2301
Berkeley,first_generation,3,comp_orig,57.1,2301
Berkeley,first_generation,3,enrl_orig,22.5,2301
Berkeley,first_generation,3,wdraw_orig,9.5,2301
Berkeley,first_generation,4,comp_2yr_trans,2.7,2567
Berkeley,first_generation,4,comp_4yr_trans,1.2,2567
Berkeley,first_generation,4,comp_orig,72.5,2567
Berkeley,first_generation,4,enrl_orig,6.7,2567
Berkeley,first_generation,4,wdraw_orig,10.1,2567
Berkeley,first_generation,6,comp_2yr_trans,1.9,2449
Berkeley,first_generation,6,comp_4yr_trans,5.5,2449
Berkeley,first_generation,6,comp_orig,65.2,2449
Berkeley,first_generation,6,wdraw_orig,17.3,2449
Berkeley,first_generation,8,comp_2yr_trans,1.7,2362
Berkeley,first_generation,8,comp_4yr_trans,10.3,2362
Berkeley,first_generation,8,comp_orig,49.9,2362
Berkeley,first_generation,8,wdraw_orig,21.3,2362
Berkeley,not_first_generation,2,comp_2yr_trans,1.9,1561
Berkeley,not_first_generation,2,comp_orig,20.6,1561
Berkeley,not_first_generation,2,enrl_orig,59.3,1561
Berkeley,not_first_generation,2,wdraw_orig,6.8,1561
Berkeley,not_first_generation,3,comp_2yr_trans,1.9,1563
Berkeley,not_first_generation,3,comp_orig,63.6,1563
Berkeley,not_first_generation,3,enrl_orig,16.6,1563
Berkeley,not_first_generation,3,wdraw_orig,12.2,1563
Berkeley,not_first_generation,4,comp_2yr_trans,1.0,1574
Berkeley,not_first_generation,4,comp_4yr_trans,0.9,1574
Berkeley,not_first_generation,4,comp_orig,80.4,1574
Berkeley,not_first_generation,4,enrl_orig,3.3,1574
Berkeley,not_first_generation,4,wdraw_orig,9.8,1574
Berkeley,not_first_generation,6,comp_2yr_trans,0.8,1504
Berkeley,not_first_generation,6,comp_4yr_trans,4.7,1504
Berkeley,not_first_generation,6,comp_orig,69.8,1504
Berkeley,not_first_generation,6,wdraw_orig,15.8,1504
Berkeley,not_first_generation,8,comp_2yr_trans,1.0,1589
Berkeley,not_first_generation,8,comp_4yr_trans,9.8,1589
Berkeley,not_first_generation,8,comp_orig,58.3,1589
Berkeley,not_first_generation,8,wdraw_orig,17.7,1589
Davis,first_generation,2,comp_2yr_trans,1.8,3925
Davis,first_generation,2,comp_orig,26.2,3925
Davis,first_generation,2,enrl_orig,54.0,3925
Davis,first_generation,2,wdraw_orig,6.0,3925
Davis,first_generation,3,comp_2yr_trans,2.0,3551
Davis,first_generation,3,comp_4yr_trans,2.0,3551
Davis,first_generation,3,comp_orig,55.8,3551
Davis,first_generation,3,enrl_orig,24.8,3551
Davis,first_generation,3,wdraw_orig,6.7,3551
Davis,first_generation,4,comp_2yr_trans,1.9,3822
Davis,first_generation,4,comp_4yr_trans,2.8,3822
Davis,first_generation,4,comp_orig,75.1,3822
Davis,first_generation,4,enrl_orig,5.3,3822
Davis,first_generation,4,wdraw_orig,6.7,3822
Davis,first_generation,6,comp_4yr_trans,3.3,3544
Davis,first_generation,6,comp_orig,81.7,3544
Davis,first_generation,6,wdraw_orig,6.2,3544
Davis,first_generation,8,comp_2yr_trans,1.8,3398
Davis,first_generation,8,comp_4yr_trans,6.4,3398
Davis,first_generation,8,comp_orig,74.3,3398
Davis,first_generation,8,wdraw_orig,7.3,3398
Davis,not_first_generation,2,comp_2yr_trans,1.5,1613
Davis,not_first_generation,2,comp_orig,22.7,1613
Davis,not_first_generation,2,enrl_orig,56.5,1613
Davis,not_first_generation,2,wdraw_orig,5.3,1613
Davis,not_first_generation,3,comp_2yr_trans,0.9,1480
Davis,not_first_generation,3,comp_4yr_trans,1.4,1480
Davis,not_first_generation,3,comp_orig,60.4,1480
Davis,not_first_generation,3,enrl_orig,23.4,1480
Davis,not_first_generation,3,wdraw_orig,6.0,1480
Davis,not_first_generation,4,comp_2yr_trans,1.3,1582
Davis,not_first_generation,4,comp_4yr_trans,2.4,1582
Davis,not_first_generation,4,comp_orig,79.3,1582
Davis,not_first_generation,4,enrl_orig,3.9,1582
Davis,not_first_generation,4,wdraw_orig,6.1,1582
Davis,not_first_generation,6,comp_4yr_trans,3.6,1629
Davis,not_first_generation,6,comp_orig,85.9,1629
Davis,not_first_generation,6,wdraw_orig,4.8,1629
Davis,not_first_generation,8,comp_2yr_trans,0.8,1442
Davis,not_first_generation,8,comp_4yr_trans,6.3,1442
Davis,not_first_generation,8,comp_orig,79.9,1442
Davis,not_first_generation,8,wdraw_orig,5.3,1442
Irvine,first_generation,2,comp_2yr_trans,2.2,3879
Irvine,first_generation,2,comp_orig,21.6,3879
Irvine,first_generation,2,enrl_orig,59.9,3879
Irvine,first_generation,2,wdraw_orig,6.6,3879
Irvine,first_generation,3,comp_2yr_trans,1.6,3614
Irvine,first_generation,3,comp_4yr_trans,1.5,3614
Irvine,first_generation,3,comp_orig,60.0,3614
Irvine,first_generation,3,enrl_orig,20.6,3614
Irvine,first_generation,3,wdraw_orig,7.6,3614
Irvine,first_generation,4,comp_2yr_trans,1.8,3546
Irvine,first_generation,4,comp_4yr_trans,1.7,3546
Irvine,first_generation,4,comp_orig,72.6,3546
Irvine,first_generation,4,enrl_orig,3.8,3546
Irvine,first_generation,4,wdraw_orig,10.3,3546
Irvine,first_generation,6,comp_4yr_trans,5.2,3455
Irvine,first_generation,6,comp_orig,76.1,3455
Irvine,first_generation,6,wdraw_orig,8.7,3455
Irvine,first_generation,8,comp_2yr_trans,1.5,2722
Irvine,first_generation,8,comp_4yr_trans,7.9,2722
Irvine,first_generation,8,comp_orig,70.6,2722
Irvine,first_generation,8,wdraw_orig,9.8,2722
Irvine,not_first_generation,2,comp_2yr_trans,1.5,1504
Irvine,not_first_generation,2,comp_orig,18.1,1504
Irvine,not_first_generation,2,enrl_orig,62.5,1504
Irvine,not_first_generation,2,wdraw_orig,5.1,1504
Irvine,not_first_generation,3,comp_2yr_trans,1.3,1251
