campus,metric,subgroup,value,n
Berkeley,earnings_p6,overall,65914,4719
Berkeley,earnings_p6,inc_low,62193,2177
Berkeley,earnings_p6,inc_mid,64546,1405
Berkeley,earnings_p6,inc_high,75701,1139
Berkeley,earnings_p8,overall,74225,5343
Berkeley,earnings_p8,inc_low,72274,2315
Berkeley,earnings_p8,inc_mid,74428,1688
Berkeley,earnings_p8,inc_high,76183,1337
Berkeley,earnings_p10,overall,80364,5882
Berkeley,earnings_p10,inc_low,78800,2707
Berkeley,earnings_p10,inc_mid,79307,1811
Berkeley,earnings_p10,inc_high,84802,1366
Berkeley,debt_grad,overall,13500,4819
Berkeley,debt_grad,pell,12034,4282
Berkeley,debt_grad,non_pell,12972,2577
Berkeley,debt_grad,inc_low,11952,2466
Berkeley,debt_grad,inc_mid,11777,1807
Berkeley,debt_grad,inc_high,13000,2586
Berkeley,debt_grad,first_gen,12007,3861
Berkeley,debt_grad,not_first_gen,12828,2998
Davis,earnings_p6,overall,54621,5849
Davis,earnings_p6,inc_low,53760,2590
Davis,earnings_p6,inc_mid,54061,1870
Davis,earnings_p6,inc_high,56576,1389
Davis,earnings_p8,overall,63095,5848
Davis,earnings_p8,inc_low,59890,2362
Davis,earnings_p8,inc_mid,62903,1891
Davis,earnings_p8,inc_high,69189,1594
Davis,earnings_p10,overall,69766,7550
Davis,earnings_p10,inc_low,66016,3252
Davis,earnings_p10,inc_mid,68873,2484
Davis,earnings_p10,inc_high,76325,1813
Davis,debt_grad,overall,13199,6582
Davis,debt_grad,pell,11002,6370
Davis,debt_grad,non_pell,12207,3031
Davis,debt_grad,inc_low,11000,3538
Davis,debt_grad,inc_mid,11300,2761
Davis,debt_grad,inc_high,12790,3102
Davis,debt_grad,first_gen,11000,6535
Davis,debt_grad,not_first_gen,12500,2866
Irvine,earnings_p6,overall,52679,5082
Irvine,earnings_p6,inc_low,51315,2167
Irvine,earnings_p6,inc_mid,52624,1676
Irvine,earnings_p6,inc_high,55720,1240
Irvine,earnings_p8,overall,63899,5105
Irvine,earnings_p8,inc_low,61353,1903
Irvine,earnings_p8,inc_mid,64129,1686
Irvine,earnings_p8,inc_high,65765,1516
Irvine,earnings_p10,overall,71961,5998
Irvine,earnings_p10,inc_low,67563,2314
Irvine,earnings_p10,inc_mid,72452,1986
Irvine,earnings_p10,inc_high,76735,1695
Irvine,debt_grad,overall,15060,6787
Irvine,debt_grad,pell,13933,6018
Irvine,debt_grad,non_pell,15000,2543
Irvine,debt_grad,inc_low,13700,3162
Irvine,debt_grad,inc_mid,14000,2842
Irvine,debt_grad,inc_high,15000,2557
Irvine,debt_grad,first_gen,13700,6103
Irvine,debt_grad,not_first_gen,15000,2458
Los Angeles,earnings_p6,overall,55427,5179
Los Angeles,earnings_p6,inc_low,51313,2272
Los Angeles,earnings_p6,inc_mid,55754,1559
Los Angeles,earnings_p6,inc_high,61470,1347
