entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,c_first,c_second,c_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2010,ethnicity,aian,1,1.75,3.47,43,19,4,,,
FR,All,2010,ethnicity,aian,2,3.47,3.79,47,15,1,,,
FR,All,2010,ethnicity,aian,3,3.79,4.0,60,13,2,,,
FR,All,2010,ethnicity,asian,1,1.75,3.47,2417,973,172,,,
FR,All,2010,ethnicity,asian,2,3.47,3.79,3104,935,123,,,
FR,All,2010,ethnicity,asian,3,3.79,4.0,3575,716,59,,,
FR,All,2010,ethnicity,black,1,1.75,3.47,274,172,27,,,
FR,All,2010,ethnicity,black,2,3.47,3.79,196,67,11,,,
FR,All,2010,ethnicity,black,3,3.79,4.0,145,55,4,,,
FR,All,2010,ethnicity,hispanic_latino,1,1.75,3.47,1233,822,139,,,
FR,All,2010,ethnicity,hispanic_latino,2,3.47,3.79,1249,585,79,,,
FR,All,2010,ethnicity,hispanic_latino,3,3.79,4.0,987,418,40,,,
FR,All,2010,ethnicity,international,1,1.75,3.47,107,27,9,,,
FR,All,2010,ethnicity,international,2,3.47,3.79,191,49,18,,,
FR,All,2010,ethnicity,international,3,3.79,4.0,396,69,23,,,
FR,All,2010,ethnicity,white,1,1.75,3.47,1306,507,97,,,
FR,All,2010,ethnicity,white,2,3.47,3.79,2051,471,70,,,
FR,All,2010,ethnicity,white,3,3.79,4.0,2900,493,37,,,
FR,All,2010,first_gen_status,first_gen,1,1.75,3.47,2485,1337,250,,,
FR,All,2010,first_gen_status,first_gen,2,3.47,3.79,2572,1029,141,,,
FR,All,2010,first_gen_status,first_gen,3,3.79,4.0,2327,775,61,,,
FR,All,2010,first_gen_status,not_first_gen,1,1.75,3.47,2826,1158,195,,,
FR,All,2010,first_gen_status,not_first_gen,2,3.47,3.79,4241,1083,156,,,
FR,All,2010,first_gen_status,not_first_gen,3,3.79,4.0,5617,979,106,,,
FR,All,2010,pell_status,non_pell,1,1.75,3.47,2703,1041,191,,,
FR,All,2010,pell_status,non_pell,2,3.47,3.79,4095,953,117,,,
FR,All,2010,pell_status,non_pell,3,3.79,4.0,5540,890,100,,,
FR,All,2010,pell_status,pell,1,1.75,3.47,2895,1582,282,,,
FR,All,2010,pell_status,pell,2,3.47,3.79,3128,1276,196,,,
FR,All,2010,pell_status,pell,3,3.79,4.0,2972,952,73,,,
FR,All,2011,ethnicity,aian,1,0.87,3.5,37,16,2,,,
FR,All,2011,ethnicity,aian,2,3.5,3.8,35,14,2,,,
FR,All,2011,ethnicity,aian,3,3.8,4.0,61,12,3,,,
FR,All,2011,ethnicity,asian,1,0.87,3.5,2463,846,136,,,
FR,All,2011,ethnicity,asian,2,3.5,3.8,3443,867,126,,,
FR,All,2011,ethnicity,asian,3,3.8,4.0,3958,650,84,,,
FR,All,2011,ethnicity,black,1,0.87,3.5,276,165,29,,,
FR,All,2011,ethnicity,black,2,3.5,3.8,218,93,16,,,
FR,All,2011,ethnicity,black,3,3.8,4.0,148,46,7,,,
FR,All,2011,ethnicity,hispanic_latino,1,0.87,3.5,1572,819,141,,,
FR,All,2011,ethnicity,hispanic_latino,2,3.5,3.8,1456,662,97,,,
FR,All,2011,ethnicity,hispanic_latino,3,3.8,4.0,1154,443,56,,,
FR,All,2011,ethnicity,international,1,0.87,3.5,223,60,23,,,
FR,All,2011,ethnicity,international,2,3.5,3.8,373,85,32,,,
FR,All,2011,ethnicity,international,3,3.8,4.0,553,113,41,,,
FR,All,2011,ethnicity,white,1,0.87,3.5,1289,466,72,,,
FR,All,2011,ethnicity,white,2,3.5,3.8,2037,443,66,,,
FR,All,2011,ethnicity,white,3,3.8,4.0,3085,488,58,,,
FR,All,2011,first_gen_status,first_gen,1,0.87,3.5,2859,1312,230,,,
FR,All,2011,first_gen_status,first_gen,2,3.5,3.8,3032,1093,171,,,
FR,All,2011,first_gen_status,first_gen,3,3.8,4.0,2621,756,103,,,
