entry,campus,cohort,q_lo,q1_hi,q2_hi,q_hi
FR,All,2010,1.75,3.47,3.79,4.0
FR,All,2011,0.87,3.5,3.8,4.0
FR,All,2012,1.02,3.52,3.81,4.0
FR,All,2013,1.21,3.57,3.84,4.0
FR,All,2014,0.25,3.59,3.86,4.0
FR,All,2015,1.0,3.61,3.87,4.0
FR,All,2016,0.85,3.59,3.86,4.0
FR,All,2017,0.0,3.63,3.88,4.0
FR,All,2018,0.0,3.68,3.9,4.0
FR,All,2019,1.38,3.69,3.91,4.0
FR,All,2020,1.1,3.67,3.91,4.0
FR,All,2021,0.0,3.71,3.92,4.0
FR,Berkeley,2010,1.75,3.47,3.79,4.0
FR,Berkeley,2011,0.87,3.5,3.8,4.0
FR,Berkeley,2012,1.02,3.52,3.81,4.0
FR,Berkeley,2013,1.21,3.57,3.84,4.0
FR,Berkeley,2014,0.25,3.59,3.86,4.0
FR,Berkeley,2015,1.0,3.61,3.87,4.0
FR,Berkeley,2016,0.85,3.59,3.86,4.0
FR,Berkeley,2017,0.0,3.63,3.88,4.0
FR,Berkeley,2018,0.0,3.68,3.9,4.0
FR,Berkeley,2019,1.38,3.69,3.91,4.0
FR,Berkeley,2020,1.1,3.67,3.91,4.0
FR,Berkeley,2021,0.0,3.71,3.92,4.0
FR,Davis,2010,1.75,3.47,3.79,4.0
FR,Davis,2011,0.87,3.5,3.8,4.0
FR,Davis,2012,1.02,3.52,3.81,4.0
FR,Davis,2013,1.21,3.57,3.84,4.0
FR,Davis,2014,0.25,3.59,3.86,4.0
FR,Davis,2015,1.0,3.61,3.87,4.0
FR,Davis,2016,0.85,3.59,3.86,4.0
FR,Davis,2017,0.0,3.63,3.88,4.0
FR,Davis,2018,0.0,3.68,3.9,4.0
FR,Davis,2019,1.38,3.69,3.91,4.0
FR,Davis,2020,1.1,3.67,3.91,4.0
FR,Davis,2021,0.0,3.71,3.92,4.0
FR,Irvine,2010,1.75,3.47,3.79,4.0
FR,Irvine,2011,0.87,3.5,3.8,4.0
FR,Irvine,2012,1.02,3.52,3.81,4.0
FR,Irvine,2013,1.21,3.57,3.84,4.0
FR,Irvine,2014,0.25,3.59,3.86,4.0
FR,Irvine,2015,1.0,3.61,3.87,4.0
FR,Irvine,2016,0.85,3.59,3.86,4.0
FR,Irvine,2017,0.0,3.63,3.88,4.0
FR,Irvine,2018,0.0,3.68,3.9,4.0
