entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,denom,n_first,n_second,n_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2010,ethnicity,aian,1,1.75,3.47,91,43,19,4,47.25,20.88,4.4
FR,All,2010,ethnicity,aian,2,3.47,3.79,78,47,15,1,60.26,19.23,1.28
FR,All,2010,ethnicity,aian,3,3.79,4.0,81,60,13,2,74.07,16.05,2.47
FR,All,2010,ethnicity,asian,1,1.75,3.47,4342,2417,973,172,55.67,22.41,3.96
FR,All,2010,ethnicity,asian,2,3.47,3.79,4660,3104,935,123,66.61,20.06,2.64
FR,All,2010,ethnicity,asian,3,3.79,4.0,4633,3575,716,59,77.16,15.45,1.27
FR,All,2010,ethnicity,black,1,1.75,3.47,661,274,172,27,41.45,26.02,4.08
FR,All,2010,ethnicity,black,2,3.47,3.79,356,196,67,11,55.06,18.82,3.09
FR,All,2010,ethnicity,black,3,3.79,4.0,239,145,55,4,60.67,23.01,1.67
FR,All,2010,ethnicity,hispanic_latino,1,1.75,3.47,3103,1233,822,139,39.74,26.49,4.48
FR,All,2010,ethnicity,hispanic_latino,2,3.47,3.79,2399,1249,585,79,52.06,24.39,3.29
FR,All,2010,ethnicity,hispanic_latino,3,3.79,4.0,1650,987,418,40,59.82,25.33,2.42
FR,All,2010,ethnicity,international,1,1.75,3.47,195,107,27,9,54.87,13.85,4.62
FR,All,2010,ethnicity,international,2,3.47,3.79,313,191,49,18,61.02,15.65,5.75
FR,All,2010,ethnicity,international,3,3.79,4.0,549,396,69,23,72.13,12.57,4.19
FR,All,2010,ethnicity,white,1,1.75,3.47,2431,1306,507,97,53.72,20.86,3.99
FR,All,2010,ethnicity,white,2,3.47,3.79,2986,2051,471,70,68.69,15.77,2.34
FR,All,2010,ethnicity,white,3,3.79,4.0,3757,2900,493,37,77.19,13.12,0.98
FR,All,2010,first_gen_status,first_gen,1,1.75,3.47,5530,2485,1337,250,44.94,24.18,4.52
FR,All,2010,first_gen_status,first_gen,2,3.47,3.79,4516,2572,1029,141,56.95,22.79,3.12
FR,All,2010,first_gen_status,first_gen,3,3.79,4.0,3547,2327,775,61,65.6,21.85,1.72
FR,All,2010,first_gen_status,not_first_gen,1,1.75,3.47,5191,2826,1158,195,54.44,22.31,3.76
FR,All,2010,first_gen_status,not_first_gen,2,3.47,3.79,6242,4241,1083,156,67.94,17.35,2.5
FR,All,2010,first_gen_status,not_first_gen,3,3.79,4.0,7219,5617,979,106,77.81,13.56,1.47
FR,All,2010,overall,overall,1,1.75,3.47,11280,5598,2623,473,49.63,23.25,4.19
FR,All,2010,overall,overall,2,3.47,3.79,11365,7223,2229,313,63.55,19.61,2.75
FR,All,2010,overall,overall,3,3.79,4.0,11493,8512,1842,173,74.06,16.03,1.51
FR,All,2010,pell_status,non_pell,1,1.75,3.47,4974,2703,1041,191,54.34,20.93,3.84
FR,All,2010,pell_status,non_pell,2,3.47,3.79,5874,4095,953,117,69.71,16.22,1.99
FR,All,2010,pell_status,non_pell,3,3.79,4.0,7049,5540,890,100,78.59,12.63,1.42
FR,All,2010,pell_status,pell,1,1.75,3.47,6306,2895,1582,282,45.91,25.09,4.47
FR,All,2010,pell_status,pell,2,3.47,3.79,5491,3128,1276,196,56.97,23.24,3.57
FR,All,2010,pell_status,pell,3,3.79,4.0,4444,2972,952,73,66.88,21.42,1.64
FR,All,2011,ethnicity,aian,1,0.87,3.5,74,37,16,2,50.0,21.62,2.7
FR,All,2011,ethnicity,aian,2,3.5,3.8,67,35,14,2,52.24,20.9,2.99
FR,All,2011,ethnicity,aian,3,3.8,4.0,89,61,12,3,68.54,13.48,3.37
FR,All,2011,ethnicity,asian,1,0.87,3.5,4165,2463,846,136,59.14,20.31,3.27
FR,All,2011,ethnicity,asian,2,3.5,3.8,4924,3443,867,126,69.92,17.61,2.56
FR,All,2011,ethnicity,asian,3,3.8,4.0,5002,3958,650,84,79.13,12.99,1.68
FR,All,2011,ethnicity,black,1,0.87,3.5,677,276,165,29,40.77,24.37,4.28
FR,All,2011,ethnicity,black,2,3.5,3.8,418,218,93,16,52.15,22.25,3.83
FR,All,2011,ethnicity,black,3,3.8,4.0,232,148,46,7,63.79,19.83,3.02
FR,All,2011,ethnicity,hispanic_latino,1,0.87,3.5,3614,1572,819,141,43.5,22.66,3.9
FR,All,2011,ethnicity,hispanic_latino,2,3.5,3.8,2766,1456,662,97,52.64,23.93,3.51
FR,All,2011,ethnicity,hispanic_latino,3,3.8,4.0,1930,1154,443,56,59.79,22.95,2.9
FR,All,2011,ethnicity,international,1,0.87,3.5,404,223,60,23,55.2,14.85,5.69
FR,All,2011,ethnicity,international,2,3.5,3.8,614,373,85,32,60.75,13.84,5.21
FR,All,2011,ethnicity,international,3,3.8,4.0,807,553,113,41,68.53,14.0,5.08
FR,All,2011,ethnicity,white,1,0.87,3.5,2293,1289,466,72,56.21,20.32,3.14
FR,All,2011,ethnicity,white,2,3.5,3.8,2956,2037,443,66,68.91,14.99,2.23
FR,All,2011,ethnicity,white,3,3.8,4.0,3978,3085,488,58,77.55,12.27,1.46
FR,All,2011,first_gen_status,first_gen,1,0.87,3.5,5966,2859,1312,230,47.92,21.99,3.86
