ceeb,name,city,county
050003,Agoura High School,Agoura Hills,Los Angeles
050005,Alameda High School,Alameda,Alameda
050006,Oak Park High School,Oak Park,Ventura
050011,Alameda Community Learning Ctr,Alameda,Alameda
050015,Encinal High School,Alameda,Alameda
050020,Saint Joseph-Notre Dame Hs,Alameda,Alameda
050029,Alameda Science & Technical Inst,Alameda,Alameda
050035,Albany High School,Albany,Alameda
050038,Orange Vista High School,Perris,Riverside
050050,Alhambra High School,Alhambra,Los Angeles
050051,Summit Public School Denali,Sunnyvale,Santa Clara
050055,Mark Keppel High School,Alhambra,Los Angeles
050060,Ramona Convent Secondary School,Alhambra,Los Angeles
050063,Aliso Niguel High School,Aliso Viejo,Orange
050068,Arleta High School,Arleta,Los Angeles
050075,South Tahoe High School,South Lake Tahoe,El Dorado
050077,Alta Loma High School,Alta Loma,San Bernardino
050081,Katella High School,Anaheim,Orange
050082,Cornelia Connelly School,Anaheim,Orange
050083,Magnolia High School,Anaheim,Orange
050084,Loara High School,Anaheim,Orange
050087,Savanna High School,Anaheim,Orange
050088,Servite High School,Anaheim,Orange
050090,Anaheim High School,Anaheim,Orange
050092,Western High School,Anaheim,Orange
050093,Esperanza High School,Anaheim,Orange
050100,Bret Harte Union High School,Angels Camp,Calaveras
050103,Fairmont Preparatory Academy,Anaheim,Orange
050109,Deer Valley High School,Antioch,Contra Costa
050115,Antioch High School,Antioch,Contra Costa
050118,Apple Valley High School,Apple Valley,San Bernardino
050119,Aptos High School,Aptos,Santa Cruz
050126,Academy for Academic Excellence,Apple Valley,San Bernardino
050130,Arcadia High School,Arcadia,Los Angeles
050134,Granite Hills High School,Apple Valley,San Bernardino
050135,Arcata High School,Arcata,Humboldt
050140,La Sierra Academy,Riverside,Riverside
050150,Arroyo Grande High School,Arroyo Grande,San Luis Obispo
050155,Artesia High School,Lakewood,Los Angeles
050157,Valley Christian High School,Cerritos,Los Angeles
050160,Arvin High School,Arvin,Kern
050162,Aveson Global Leadership Academy,Altadena,Los Angeles
050165,Atascadero High School,Atascadero,San Luis Obispo
050170,Menlo Atherton High School,Atherton,San Mateo
050172,Atwater High School,Atwater,Merced
050175,Placer High School,Auburn,Placer
050181,Buhach Colony High School,Atwater,Merced
050185,Avenal High School,Avenal,Kings
050188,Azusa High School,Azusa,Los Angeles
050190,Gladstone High School,Covina,Los Angeles
050196,Liberty High School,Bakersfield,Kern
050202,Ridgeview High School,Bakersfield,Kern
050205,Bakersfield High School,Bakersfield,Kern
050208,Bakersfield Christian Hs,Bakersfield,Kern
050209,Centennial High School,Bakersfield,Kern
050210,East Bakersfield High School,Bakersfield,Kern
050213,Foothill High School,Bakersfield,Kern
050215,Garces Memorial High School,Bakersfield,Kern
050217,Stockdale High School,Bakersfield,Kern
050218,Highland High School,Bakersfield,Kern
050220,North High School,Bakersfield,Kern
050223,South High School,Bakersfield,Kern
050224,West High School,Bakersfield,Kern
050225,Baldwin Park High School,Baldwin Park,Los Angeles
050228,Sierra Vista High School,Baldwin Park,Los Angeles
050230,Banning High School,Banning,Riverside
050235,Barstow High School,Barstow,San Bernardino
050238,Bassett High School,La Puente,Los Angeles
050240,Beaumont High School,Beaumont,Riverside
050245,Bell High School,Bell,Los Angeles
050255,Bellflower High School,Bellflower,Los Angeles
050259,Golden Valley High School,Bakersfield,Kern
050260,Saint John Bosco High School,Bellflower,Los Angeles
050265,Bell Gardens High School,Bell Gardens,Los Angeles
050266,Portola High School,Irvine,Orange
050270,Carlmont High School,Belmont,San Mateo
050275,Notre Dame High School,Belmont,San Mateo
050280,Benicia High School,Benicia,Solano
050285,Head-Royce School,Oakland,Alameda
050290,Berkeley High School,Berkeley,Alameda
050301,Alliance Mit 6-12 Complex,Sun Valley,Los Angeles
050306,Richmond Ca College Prepratory,Richmond,Contra Costa
050308,Rise Kohyang High School,Los Angeles,Los Angeles
050309,Girls Academic Leadership Acad,Los Angeles,Los Angeles
050310,Saint Mary's College High Scho,Berkeley,Alameda
050320,Beverly Hills High School,Beverly Hills,Los Angeles
050321,Lycee Francais De Los Angeles,Los Angeles,Los Angeles
050330,Big Bear High School,Big Bear City,San Bernardino
050334,Desert Hot Springs Hs,Desert Hot Springs,Riverside
050338,East College Prep,Los Angeles,Los Angeles
050345,Bishop Union High School,Bishop,Inyo
050348,Bloomington High School,Bloomington,San Bernardino
050365,Brawley Union High School,Brawley,Imperial
050370,Brea Olinda High School,Brea,Orange
050372,Freedom High School,Oakley,Contra Costa
050375,Liberty High School,Brentwood,Contra Costa
050378,Buena Park High School,Buena Park,Orange
050379,John F Kennedy High School,La Palma,Orange
050380,Bellarmine-Jefferson Hs,Burbank,Los Angeles
050385,Burbank High School,Burbank,Los Angeles
050386,Heritage High School,Brentwood,Contra Costa
050396,Animo Cty Champions Charter Hs,Inglewood,Los Angeles
050400,John Burroughs High School,Burbank,Los Angeles
050402,Providence High School,Burbank,Los Angeles
050404,Early College High School,Costa Mesa,Orange
050410,Burlingame High School,Burlingame,San Mateo
050415,Mercy High School,Burlingame,San Mateo
050420,Vincent Memorial Catholic Hs,Calexico,Imperial
050421,Calabasas High School,Calabasas,Los Angeles
050423,Viewpoint School,Calabasas,Los Angeles
050425,Calexico High School,Calexico,Imperial
050435,Calistoga Junior Senior High School,Calistoga,Napa
050438,Adolfo Camarillo High School,Camarillo,Ventura
050440,Coast Union High School,Cambria,San Luis Obispo
050449,Pacific Ridge School,Carlsbad,San Diego
050462,Agbu Manoogian-Demirdjian Sch,Canoga Park,Los Angeles
050465,Canoga Park High School,Canoga Park,Los Angeles
050466,Torrey Pines High School,San Diego,San Diego
050467,Faith Baptist School,Canoga Park,Los Angeles
050470,Army and Navy Academy,Carlsbad,San Diego
050472,Carlsbad High School,Carlsbad,San Diego
050475,Carmel High School,Carmel,Monterey
050489,North Monterey County High Sch,Castroville,Monterey
050490,Carpinteria High School,Carpinteria,Santa Barbara
050491,California Acad Math & Science,Carson,Los Angeles
050495,Caruthers High School,Caruthers,Fresno
050499,Redwood Christian Middle High Schl,San Lorenzo,Alameda
050500,Castro Valley High School,Castro Valley,Alameda
050508,Cathedral City High School,Cathedral City,Riverside
050517,Aquinas International Academy,Ontario,San Bernardino
050525,Ceres High School,Ceres,Stanislaus
050526,Gretchen Whitney High School,Cerritos,Los Angeles
050527,Cerritos High School,Cerritos,Los Angeles
050528,Chatsworth Charter High School,Chatsworth,Los Angeles
050545,Chico High School,Chico,Butte
050548,Pleasant Valley Sr High School,Chico,Butte
050550,Sherman E Burroughs Hs,Ridgecrest,Kern
050551,Maywood Ctr Enriched Studies,Maywood,Los Angeles
050555,Chino High School,Chino,San Bernardino
050563,Ruben S Ayala High School,Chino Hills,San Bernardino
050564,Chino Hills High School,Chino Hills,San Bernardino
050566,Don Antonio Lugo High School,Chino,San Bernardino
050570,Chowchilla Union High School,Chowchilla,Madera
050572,Bonita Vista High School,Chula Vista,San Diego
050573,Castle Park High School,Chula Vista,San Diego
050579,Eastlake High School,Chula Vista,San Diego
050580,Chula Vista High School,Chula Vista,San Diego
050581,Hilltop High School,Chula Vista,San Diego
050582,San Juan High School,Citrus Heights,Sacramento
050583,William Workman High School,City of Industry,Los Angeles
050587,Mesa Verde High School,Citrus Heights,Sacramento
050590,Claremont High School,Claremont,Los Angeles
050591,Visions in Education,Carmichael,Sacramento
050599,Vivian Webb School,Claremont,Los Angeles
050600,Webb Schools,Claremont,Los Angeles
050602,Otay Ranch High School,Chula Vista,San Diego
050605,Delta High School,Clarksburg,Yolo
050615,Clovis High School,Clovis,Fresno
050618,Buchanan High School,Clovis,Fresno
050620,Coachella Valley High School,Thermal,Riverside
050622,Clovis East High School,Clovis,Fresno
050628,Clovis North High School,Fresno,Fresno
050630,Coalinga High School,Coalinga,Fresno
050637,Colfax High School,Colfax,Placer
050640,Colton High School,Colton,San Bernardino
050650,Centennial High School,Compton,Los Angeles
050651,Compton High School,Compton,Los Angeles
050652,Dominguez High School,Compton,Los Angeles
050656,Carondelet High School,Concord,Contra Costa
050657,Concord High School,Concord,Contra Costa
050658,Clayton Valley Charter High School,Concord,Contra Costa
050659,College Park High School,Pleasant Hill,Contra Costa
050660,Mount Diablo High School,Concord,Contra Costa
050662,De La Salle High School,Concord,Contra Costa
050663,Ygnacio Valley High School,Concord,Contra Costa
050665,Corcoran High School,Corcoran,Kings
050666,Northgate High School,Walnut Creek,Contra Costa
050675,Corona High School,Corona,Riverside
050676,Centennial High School,Corona,Riverside
050680,Coronado High School,Coronado,San Diego
050683,Costa Mesa High School,Costa Mesa,Orange
050684,Estancia High School,Costa Mesa,Orange
050688,West Valley High School,Cottonwood,Shasta
050692,Santiago High School,Corona,Riverside
050693,Charter Oak High School,Covina,Los Angeles
