campus,year,cip2,cip2_title,total,urm,urm_share_pct
Berkeley,2011,03,03 - Natural resources,398,47,11.8
Berkeley,2011,04,04 - Architecture,172,32,18.6
Berkeley,2011,05,"05 - Area, ethnic, cultural, gender, and group studies",288,117,40.6
Berkeley,2011,09,09 - Communication/journalism,194,33,17.0
Berkeley,2011,11,11 - Computer and information sciences,91,6,6.6
Berkeley,2011,14,14 - Engineering,918,44,4.8
Berkeley,2011,16,16 - Foreign languages,211,45,21.3
Berkeley,2011,22,22 - Legal professions,108,22,20.4
Berkeley,2011,23,23 - English language and literature,372,70,18.8
Berkeley,2011,26,26 - Biological sciences,882,83,9.4
Berkeley,2011,27,27 - Mathematics and statistics,268,15,5.6
Berkeley,2011,30,30 - Multi/interdisciplinary studies,393,62,15.8
Berkeley,2011,38,38 - Philosophy and religious studies,81,12,14.8
Berkeley,2011,40,40 - Physical sciences,241,17,7.1
Berkeley,2011,42,42 - Psychology,299,49,16.4
Berkeley,2011,44,44 - Public administration and social service,101,39,38.6
Berkeley,2011,45,45 - Social sciences,1519,280,18.4
Berkeley,2011,50,50 - Visual and performing arts,285,57,20.0
Berkeley,2011,51,51 - Health professions,148,18,12.2
Berkeley,2011,52,52 - Business/management/marketing,356,22,6.2
Berkeley,2011,54,54 - History,201,43,21.4
Berkeley,2012,03,03 - Natural resources,384,51,13.3
Berkeley,2012,04,04 - Architecture,158,30,19.0
Berkeley,2012,05,"05 - Area, ethnic, cultural, gender, and group studies",258,101,39.1
Berkeley,2012,09,09 - Communication/journalism,242,42,17.4
Berkeley,2012,11,11 - Computer and information sciences,149,7,4.7
Berkeley,2012,14,14 - Engineering,912,56,6.1
Berkeley,2012,16,16 - Foreign languages,226,39,17.3
Berkeley,2012,22,22 - Legal professions,124,22,17.7
Berkeley,2012,23,23 - English language and literature,452,106,23.5
Berkeley,2012,26,26 - Biological sciences,908,85,9.4
Berkeley,2012,27,27 - Mathematics and statistics,298,27,9.1
Berkeley,2012,30,30 - Multi/interdisciplinary studies,385,67,17.4
Berkeley,2012,38,38 - Philosophy and religious studies,113,25,22.1
Berkeley,2012,40,40 - Physical sciences,245,13,5.3
