level,slice,eth,pell,fg,cohort,measure,value,n
FR,all,all,all,all,1999,gradgpa_mean,3.293,21941
FR,all,all,all,all,1999,ttd_mean,4.34,
FR,all,all,all,all,2000,grad3,2.1,28717
FR,all,all,all,all,2000,grad4,50.5,28717
FR,all,all,all,all,2000,grad5,76.8,28717
FR,all,all,all,all,2000,grad6,81.1,28717
FR,all,all,all,all,2000,grad7p,82.5,28717
FR,all,all,all,all,2000,gradgpa_mean,3.272,23287
FR,all,all,all,all,2000,ret1,90.8,28717
FR,all,all,all,all,2000,ttd_mean,4.33,
FR,all,all,all,all,2001,grad3,2.5,30586
FR,all,all,all,all,2001,grad4,53.4,30586
FR,all,all,all,all,2001,grad5,77.3,30586
FR,all,all,all,all,2001,grad6,81.5,30586
FR,all,all,all,all,2001,grad7p,82.9,30586
FR,all,all,all,all,2001,gradgpa_mean,3.26,24923
FR,all,all,all,all,2001,ret1,91.0,30586
FR,all,all,all,all,2001,ttd_mean,4.29,
FR,all,all,all,all,2002,grad3,2.5,31643
FR,all,all,all,all,2002,grad4,55.3,31643
FR,all,all,all,all,2002,grad5,78.2,31643
FR,all,all,all,all,2002,grad6,82.2,31643
FR,all,all,all,all,2002,grad7p,83.5,31643
FR,all,all,all,all,2002,gradgpa_mean,3.25,26021
FR,all,all,all,all,2002,ret1,91.0,31643
FR,all,all,all,all,2002,ttd_mean,4.26,
FR,all,all,all,all,2003,grad3,2.5,31990
FR,all,all,all,all,2003,grad4,56.2,31990
FR,all,all,all,all,2003,grad5,78.3,31990
FR,all,all,all,all,2003,grad6,82.0,31990
FR,all,all,all,all,2003,grad7p,83.3,31990
FR,all,all,all,all,2003,gradgpa_mean,3.268,26232
FR,all,all,all,all,2003,ret1,91.2,31990
FR,all,all,all,all,2003,ttd_mean,4.25,
FR,all,all,all,all,2004,grad3,2.6,29620
FR,all,all,all,all,2004,grad4,58.6,29620
FR,all,all,all,all,2004,grad5,79.9,29620
FR,all,all,all,all,2004,grad6,83.5,29620
FR,all,all,all,all,2004,grad7p,84.6,29620
FR,all,all,all,all,2004,gradgpa_mean,3.296,24735
FR,all,all,all,all,2004,ret1,91.9,29620
FR,all,all,all,all,2004,ttd_mean,4.23,
FR,all,all,all,all,2005,grad3,2.9,31550
FR,all,all,all,all,2005,grad4,59.9,31550
FR,all,all,all,all,2005,grad5,80.2,31550
FR,all,all,all,all,2005,grad6,83.6,31550
FR,all,all,all,all,2005,grad7p,84.8,31550
FR,all,all,all,all,2005,gradgpa_mean,3.3,26369
FR,all,all,all,all,2005,ret1,91.7,31550
FR,all,all,all,all,2005,ttd_mean,4.21,
FR,all,all,all,all,2006,grad3,2.7,35440
FR,all,all,all,all,2006,grad4,60.5,35440
FR,all,all,all,all,2006,grad5,80.5,35440
FR,all,all,all,all,2006,grad6,84.0,35440
FR,all,all,all,all,2006,grad7p,85.2,35440
FR,all,all,all,all,2006,gradgpa_mean,3.285,29771
FR,all,all,all,all,2006,ret1,92.0,35440
FR,all,all,all,all,2006,ttd_mean,4.21,
FR,all,all,all,all,2007,grad3,3.0,35346
FR,all,all,all,all,2007,grad4,60.2,35346
FR,all,all,all,all,2007,grad5,80.1,35346
FR,all,all,all,all,2007,grad6,83.5,35346
FR,all,all,all,all,2007,grad7p,84.8,35346
FR,all,all,all,all,2007,gradgpa_mean,3.288,29520
FR,all,all,all,all,2007,ret1,91.6,35346
FR,all,all,all,all,2007,ttd_mean,4.21,
FR,all,all,all,all,2008,grad3,3.2,36600
FR,all,all,all,all,2008,grad4,61.6,36600
FR,all,all,all,all,2008,grad5,81.1,36600
FR,all,all,all,all,2008,grad6,84.3,36600
FR,all,all,all,all,2008,grad7p,85.4,36600
FR,all,all,all,all,2008,gradgpa_mean,3.273,30837
FR,all,all,all,all,2008,ret1,92.3,36600
FR,all,all,all,all,2008,ttd_mean,4.19,
FR,all,all,all,all,2009,grad3,3.0,34298
FR,all,all,all,all,2009,grad4,63.2,34298
FR,all,all,all,all,2009,grad5,82.4,34298
FR,all,all,all,all,2009,grad6,85.2,34298
FR,all,all,all,all,2009,grad7p,86.2,34298
FR,all,all,all,all,2009,gradgpa_mean,3.29,29214
FR,all,all,all,all,2009,ret1,92.7,34298
FR,all,all,all,all,2009,ttd_mean,4.18,
FR,all,all,all,all,2010,grad3,2.9,34453
FR,all,all,all,all,2010,grad4,62.5,34453
FR,all,all,all,all,2010,grad5,82.1,34453
FR,all,all,all,all,2010,grad6,84.9,34453
FR,all,all,all,all,2010,grad6_nonuc,84.9,
FR,all,all,all,all,2010,grad7p,85.9,34453
FR,all,all,all,all,2010,gradgpa_mean,3.296,29251
FR,all,all,all,all,2010,ret1,92.8,34453
FR,all,all,all,all,2010,ttd_mean,4.19,
FR,all,all,all,all,2011,grad3,3.0,36391
FR,all,all,all,all,2011,grad4,64.0,36391
FR,all,all,all,all,2011,grad5,81.9,36391
FR,all,all,all,all,2011,grad6,84.7,36391
FR,all,all,all,all,2011,grad6_nonuc,86.9,
FR,all,all,all,all,2011,grad7p,85.8,36391
FR,all,all,all,all,2011,gradgpa_mean,3.298,30819
FR,all,all,all,all,2011,ret1,92.4,36391
FR,all,all,all,all,2011,ttd_mean,4.17,
FR,all,all,all,all,2012,grad3,2.8,38776
FR,all,all,all,all,2012,grad4,64.4,38776
FR,all,all,all,all,2012,grad5,81.5,38776
FR,all,all,all,all,2012,grad6,84.3,38776
FR,all,all,all,all,2012,grad6_nonuc,86.7,
FR,all,all,all,all,2012,grad7p,85.3,38776
FR,all,all,all,all,2012,gradgpa_mean,3.304,32678
FR,all,all,all,all,2012,ret1,92.4,38776
FR,all,all,all,all,2012,ttd_mean,4.16,
FR,all,all,all,all,2013,grad3,3.0,40055
FR,all,all,all,all,2013,grad4,66.5,40055
FR,all,all,all,all,2013,grad5,82.7,40055
FR,all,all,all,all,2013,grad6,85.4,40055
FR,all,all,all,all,2013,grad6_nonuc,87.6,
FR,all,all,all,all,2013,grad7p,86.4,40055
FR,all,all,all,all,2013,gradgpa_mean,3.342,34194
FR,all,all,all,all,2013,ret1,92.6,40055
FR,all,all,all,all,2013,ttd_mean,4.15,
FR,all,all,all,all,2014,grad3,3.5,41628
FR,all,all,all,all,2014,grad4,68.1,41628
FR,all,all,all,all,2014,grad5,83.2,41628
FR,all,all,all,all,2014,grad6,85.6,41628
FR,all,all,all,all,2014,grad6_nonuc,87.9,
FR,all,all,all,all,2014,grad7p,86.6,41628
FR,all,all,all,all,2014,gradgpa_mean,3.36,35654
FR,all,all,all,all,2014,ret1,92.8,41628
FR,all,all,all,all,2014,ttd_mean,4.12,
FR,all,all,all,all,2015,grad3,4.0,41626
FR,all,all,all,all,2015,grad4,69.6,41626
FR,all,all,all,all,2015,grad5,84.1,41626
FR,all,all,all,all,2015,grad6,86.4,41626
FR,all,all,all,all,2015,grad6_nonuc,88.6,
FR,all,all,all,all,2015,grad7p,87.2,41626
FR,all,all,all,all,2015,gradgpa_mean,3.399,35950
FR,all,all,all,all,2015,ret1,93.3,41626
FR,all,all,all,all,2015,ttd_mean,4.1,
FR,all,all,all,all,2016,grad3,4.1,47528
FR,all,all,all,all,2016,grad4,71.4,47528
FR,all,all,all,all,2016,grad5,84.3,47528
FR,all,all,all,all,2016,grad6,86.1,47528
FR,all,all,all,all,2016,grad6_nonuc,88.2,
FR,all,all,all,all,2016,grad7p,86.8,47528
FR,all,all,all,all,2016,gradgpa_mean,3.485,40914
FR,all,all,all,all,2016,ret1,92.9,47528
FR,all,all,all,all,2016,ttd_mean,4.07,
FR,all,all,all,all,2017,grad3,5.3,46062
FR,all,all,all,all,2017,grad4,72.7,46062
FR,all,all,all,all,2017,grad5,83.8,46062
FR,all,all,all,all,2017,grad6,85.7,46062
FR,all,all,all,all,2017,grad6_nonuc,88.1,
FR,all,all,all,all,2017,grad7p,86.6,46062
FR,all,all,all,all,2017,gradgpa_mean,3.555,39493
FR,all,all,all,all,2017,ret1,92.5,46062
FR,all,all,all,all,2017,ttd_mean,4.03,
FR,all,all,all,all,2018,grad3,6.7,46746
FR,all,all,all,all,2018,grad4,72.9,46746
FR,all,all,all,all,2018,grad5,83.7,46746
FR,all,all,all,all,2018,grad6,85.9,46746
FR,all,all,all,all,2018,grad6_nonuc,88.1,
FR,all,all,all,all,2018,grad7p,86.7,46746
FR,all,all,all,all,2018,gradgpa_mean,3.504,40146
FR,all,all,all,all,2018,ret1,92.8,46746
FR,all,all,all,all,2018,ttd_mean,4.01,
FR,all,all,all,all,2019,grad3,6.8,46023
FR,all,all,all,all,2019,grad4,73.4,46023
FR,all,all,all,all,2019,grad5,84.1,46023
FR,all,all,all,all,2019,grad6,86.1,46023
FR,all,all,all,all,2019,grad6_nonuc,88.4,
