level,dimension,subgroup,cohort,measure,rate_pct,numer,denom
FR,eop,EOP Eligible,2010,grad6,88.67,1236,1394
FR,eop,EOP Eligible,2011,grad6,89.25,1403,1572
FR,eop,EOP Eligible,2012,grad6,86.81,1330,1532
FR,eop,EOP Eligible,2013,grad6,89.15,1512,1696
FR,eop,EOP Eligible,2014,grad6,88.74,1884,2123
FR,eop,EOP Eligible,2015,grad6,88.53,1667,1883
FR,eop,EOP Eligible,2016,grad6,89.5,1765,1972
FR,eop,EOP Eligible,2017,grad6,89.44,1872,2093
FR,eop,EOP Eligible,2018,grad6,88.49,1875,2119
FR,eop,EOP Eligible,2019,grad6,89.73,1966,2191
FR,eop,Not EOP Eligible,2010,grad6,93.02,2531,2721
FR,eop,Not EOP Eligible,2011,grad6,91.74,2643,2881
FR,eop,Not EOP Eligible,2012,grad6,93.48,2481,2654
FR,eop,Not EOP Eligible,2013,grad6,94.33,2861,3033
FR,eop,Not EOP Eligible,2014,grad6,94.29,3172,3364
FR,eop,Not EOP Eligible,2015,grad6,94.62,3484,3682
FR,eop,Not EOP Eligible,2016,grad6,95.83,4112,4291
FR,eop,Not EOP Eligible,2017,grad6,94.45,4052,4290
FR,eop,Not EOP Eligible,2018,grad6,95.02,3704,3898
FR,eop,Not EOP Eligible,2019,grad6,95.65,4088,4274
FR,eop,One EOP Eligibility Marker,2010,grad6,90.88,648,713
FR,eop,One EOP Eligibility Marker,2011,grad6,92.34,796,862
FR,eop,One EOP Eligibility Marker,2012,grad6,90.13,648,719
FR,eop,One EOP Eligibility Marker,2013,grad6,91.8,772,841
FR,eop,One EOP Eligibility Marker,2014,grad6,90.23,942,1044
FR,eop,One EOP Eligibility Marker,2015,grad6,91.7,862,940
FR,eop,One EOP Eligibility Marker,2016,grad6,93.27,943,1011
FR,eop,One EOP Eligibility Marker,2017,grad6,92.63,980,1058
FR,eop,One EOP Eligibility Marker,2018,grad6,92.65,970,1047
FR,eop,One EOP Eligibility Marker,2019,grad6,93.56,1017,1087
FR,eop,Three EOP Eligibility Markers,2010,grad6,83.15,227,273
FR,eop,Three EOP Eligibility Markers,2011,grad6,79.82,182,228
FR,eop,Three EOP Eligibility Markers,2012,grad6,80.12,266,332
FR,eop,Three EOP Eligibility Markers,2013,grad6,78.7,266,338
FR,eop,Three EOP Eligibility Markers,2014,grad6,82.34,317,385
FR,eop,Three EOP Eligibility Markers,2015,grad6,80.87,279,345
FR,eop,Three EOP Eligibility Markers,2016,grad6,80.49,330,410
FR,eop,Three EOP Eligibility Markers,2017,grad6,81.03,329,406
FR,eop,Three EOP Eligibility Markers,2018,grad6,79.07,340,430
FR,eop,Three EOP Eligibility Markers,2019,grad6,83.99,383,456
FR,eop,Two EOP Eligibility Markers,2010,grad6,88.48,361,408
FR,eop,Two EOP Eligibility Markers,2011,grad6,88.17,425,482
FR,eop,Two EOP Eligibility Markers,2012,grad6,86.49,416,481
FR,eop,Two EOP Eligibility Markers,2013,grad6,91.68,474,517
FR,eop,Two EOP Eligibility Markers,2014,grad6,90.06,625,694
FR,eop,Two EOP Eligibility Markers,2015,grad6,87.96,526,598
FR,eop,Two EOP Eligibility Markers,2016,grad6,89.29,492,551
FR,eop,Two EOP Eligibility Markers,2017,grad6,89.51,563,629
FR,eop,Two EOP Eligibility Markers,2018,grad6,88.01,565,642
FR,eop,Two EOP Eligibility Markers,2019,grad6,87.35,566,648
FR,eth_detail,African American,2010,grad6,75.0,93,124
FR,eth_detail,African American,2011,grad6,82.31,107,130
FR,eth_detail,African American,2012,grad6,72.6,106,146
FR,eth_detail,African American,2013,grad6,78.2,104,133
FR,eth_detail,African American,2014,grad6,83.65,133,159
FR,eth_detail,African American,2015,grad6,79.75,126,158
FR,eth_detail,African American,2016,grad6,79.75,126,158
FR,eth_detail,African American,2017,grad6,84.41,157,186
FR,eth_detail,African American,2018,grad6,81.38,153,188
FR,eth_detail,African American,2019,grad6,81.46,145,178
FR,eth_detail,Asian Non-Underrepresented,2010,grad6,94.82,1594,1681
FR,eth_detail,Asian Non-Underrepresented,2011,grad6,93.35,1769,1895
FR,eth_detail,Asian Non-Underrepresented,2012,grad6,95.03,1721,1811
FR,eth_detail,Asian Non-Underrepresented,2013,grad6,96.85,1815,1874
FR,eth_detail,Asian Non-Underrepresented,2014,grad6,95.09,2132,2242
FR,eth_detail,Asian Non-Underrepresented,2015,grad6,95.35,2274,2385
FR,eth_detail,Asian Non-Underrepresented,2016,grad6,95.94,2527,2634
FR,eth_detail,Asian Non-Underrepresented,2017,grad6,95.77,2557,2670
FR,eth_detail,Asian Non-Underrepresented,2018,grad6,95.65,2399,2508
FR,eth_detail,Asian Non-Underrepresented,2019,grad6,96.51,2681,2778
FR,eth_detail,Asian Underrepresented,2016,grad6,83.33,5,6
FR,eth_detail,Asian Underrepresented,2017,grad6,88.89,8,9
FR,eth_detail,Asian Underrepresented,2018,grad6,83.33,5,6
FR,eth_detail,Asian Underrepresented,2019,grad6,66.67,8,12
FR,eth_detail,Chicano/Latino,2010,grad6,88.63,374,422
FR,eth_detail,Chicano/Latino,2011,grad6,87.84,419,477
FR,eth_detail,Chicano/Latino,2012,grad6,84.33,425,504
FR,eth_detail,Chicano/Latino,2013,grad6,84.44,456,540
FR,eth_detail,Chicano/Latino,2014,grad6,86.21,644,747
FR,eth_detail,Chicano/Latino,2015,grad6,85.73,595,694
FR,eth_detail,Chicano/Latino,2016,grad6,87.51,736,841
FR,eth_detail,Chicano/Latino,2017,grad6,87.39,762,872
FR,eth_detail,Chicano/Latino,2018,grad6,85.29,754,884
FR,eth_detail,Chicano/Latino,2019,grad6,88.21,860,975
FR,eth_detail,Chinese,2010,grad6,96.18,831,864
FR,eth_detail,Chinese,2011,grad6,94.8,894,943
FR,eth_detail,Chinese,2012,grad6,95.93,848,884
FR,eth_detail,Chinese,2013,grad6,97.64,870,891
FR,eth_detail,Chinese,2014,grad6,96.94,1045,1078
FR,eth_detail,Chinese,2015,grad6,96.12,1041,1083
FR,eth_detail,Chinese,2016,grad6,97.2,1181,1215
FR,eth_detail,Chinese,2017,grad6,97.22,1152,1185
FR,eth_detail,Chinese,2018,grad6,97.49,1048,1075
FR,eth_detail,Chinese,2019,grad6,97.05,1086,1119
FR,eth_detail,Filipino,2010,grad6,93.26,83,89
FR,eth_detail,Filipino,2011,grad6,83.33,90,108
FR,eth_detail,Filipino,2012,grad6,93.52,101,108
FR,eth_detail,Filipino,2013,grad6,91.89,102,111
FR,eth_detail,Filipino,2014,grad6,94.27,148,157
FR,eth_detail,Filipino,2015,grad6,93.9,154,164
FR,eth_detail,Filipino,2016,grad6,94.27,181,192
FR,eth_detail,Filipino,2017,grad6,93.6,190,203
FR,eth_detail,Filipino,2018,grad6,89.3,167,187
FR,eth_detail,Filipino,2019,grad6,94.5,206,218
FR,eth_detail,International,2010,grad6,89.22,389,436
FR,eth_detail,International,2011,grad6,88.79,523,589
FR,eth_detail,International,2012,grad6,87.17,462,530
FR,eth_detail,International,2013,grad6,91.37,752,823
FR,eth_detail,International,2014,grad6,89.44,635,710
FR,eth_detail,International,2015,grad6,91.49,613,670
FR,eth_detail,International,2016,grad6,93.56,697,745
FR,eth_detail,International,2017,grad6,91.67,682,744
FR,eth_detail,International,2018,grad6,94.44,782,828
FR,eth_detail,International,2019,grad6,92.97,767,825
FR,eth_detail,Japanese,2010,grad6,97.1,67,69
FR,eth_detail,Japanese,2011,grad6,95.65,66,69
FR,eth_detail,Japanese,2012,grad6,95.52,64,67
FR,eth_detail,Japanese,2013,grad6,95.24,60,63
FR,eth_detail,Japanese,2014,grad6,93.2,96,103
FR,eth_detail,Japanese,2015,grad6,97.14,102,105
FR,eth_detail,Japanese,2016,grad6,96.55,84,87
FR,eth_detail,Japanese,2017,grad6,95.74,90,94
FR,eth_detail,Japanese,2018,grad6,92.68,76,82
