level,family,subgroup,school,cohort,measure,rate_pct,numer,denom
FR,eth,aian,Biology,2024,ret1,90.91,10,11
FR,eth,aian,Engineering,2024,ret1,100.0,10,10
FR,eth,aian,Social Sciences,2022,ret1,100.0,10,10
FR,eth,asian,Arts & Humanities,2013,grad4,76.47,39,51
FR,eth,asian,Arts & Humanities,2013,grad5,84.31,43,51
FR,eth,asian,Arts & Humanities,2013,grad6,86.27,44,51
FR,eth,asian,Arts & Humanities,2013,ret1,94.12,48,51
FR,eth,asian,Arts & Humanities,2013,ret2,92.16,47,51
FR,eth,asian,Arts & Humanities,2014,grad4,68.42,26,38
FR,eth,asian,Arts & Humanities,2014,grad5,84.21,32,38
FR,eth,asian,Arts & Humanities,2014,grad6,86.84,33,38
FR,eth,asian,Arts & Humanities,2014,ret1,89.47,34,38
FR,eth,asian,Arts & Humanities,2014,ret2,89.47,34,38
FR,eth,asian,Arts & Humanities,2015,grad4,75.86,44,58
FR,eth,asian,Arts & Humanities,2015,grad5,89.66,52,58
FR,eth,asian,Arts & Humanities,2015,grad6,91.38,53,58
FR,eth,asian,Arts & Humanities,2015,ret1,96.55,56,58
FR,eth,asian,Arts & Humanities,2015,ret2,87.93,51,58
FR,eth,asian,Arts & Humanities,2016,grad4,80.88,55,68
FR,eth,asian,Arts & Humanities,2016,grad5,94.12,64,68
FR,eth,asian,Arts & Humanities,2016,grad6,94.12,64,68
FR,eth,asian,Arts & Humanities,2016,ret1,98.53,67,68
FR,eth,asian,Arts & Humanities,2016,ret2,95.59,65,68
FR,eth,asian,Arts & Humanities,2017,grad4,72.29,60,83
FR,eth,asian,Arts & Humanities,2017,grad5,87.95,73,83
FR,eth,asian,Arts & Humanities,2017,grad6,89.16,74,83
FR,eth,asian,Arts & Humanities,2017,ret1,95.18,79,83
FR,eth,asian,Arts & Humanities,2017,ret2,91.57,76,83
FR,eth,asian,Arts & Humanities,2018,grad4,72.73,72,99
FR,eth,asian,Arts & Humanities,2018,grad5,84.85,84,99
FR,eth,asian,Arts & Humanities,2018,grad6,86.87,86,99
FR,eth,asian,Arts & Humanities,2018,ret1,91.92,91,99
FR,eth,asian,Arts & Humanities,2018,ret2,89.9,89,99
FR,eth,asian,Arts & Humanities,2019,grad4,74.65,53,71
FR,eth,asian,Arts & Humanities,2019,grad5,87.32,62,71
FR,eth,asian,Arts & Humanities,2019,grad6,88.73,63,71
FR,eth,asian,Arts & Humanities,2019,ret1,98.59,70,71
FR,eth,asian,Arts & Humanities,2019,ret2,92.96,66,71
FR,eth,asian,Arts & Humanities,2020,grad4,77.78,91,117
FR,eth,asian,Arts & Humanities,2020,grad5,86.32,101,117
FR,eth,asian,Arts & Humanities,2020,ret1,93.16,109,117
FR,eth,asian,Arts & Humanities,2020,ret2,89.74,105,117
FR,eth,asian,Arts & Humanities,2021,grad4,79.44,85,107
FR,eth,asian,Arts & Humanities,2021,ret1,92.52,99,107
FR,eth,asian,Arts & Humanities,2021,ret2,91.59,98,107
FR,eth,asian,Arts & Humanities,2022,ret1,95.56,172,180
FR,eth,asian,Arts & Humanities,2022,ret2,91.67,165,180
FR,eth,asian,Arts & Humanities,2023,ret1,99.35,153,154
FR,eth,asian,Arts & Humanities,2023,ret2,95.45,147,154
FR,eth,asian,Arts & Humanities,2024,ret1,97.24,141,145
FR,eth,asian,Biology,2013,grad4,76.58,533,696
FR,eth,asian,Biology,2013,grad5,89.94,626,696
FR,eth,asian,Biology,2013,grad6,92.1,641,696
FR,eth,asian,Biology,2013,ret1,96.7,673,696
FR,eth,asian,Biology,2013,ret2,95.55,665,696
FR,eth,asian,Biology,2014,grad4,78.55,465,592
FR,eth,asian,Biology,2014,grad5,90.54,536,592
FR,eth,asian,Biology,2014,grad6,92.57,548,592
FR,eth,asian,Biology,2014,ret1,96.96,574,592
FR,eth,asian,Biology,2014,ret2,94.93,562,592
FR,eth,asian,Biology,2015,grad4,81.09,519,640
FR,eth,asian,Biology,2015,grad5,92.5,592,640
FR,eth,asian,Biology,2015,grad6,94.06,602,640
FR,eth,asian,Biology,2015,ret1,97.81,626,640
FR,eth,asian,Biology,2015,ret2,96.09,615,640
FR,eth,asian,Biology,2016,grad4,83.31,514,617
FR,eth,asian,Biology,2016,grad5,93.68,578,617
